pangene	length	percent_cov	unpaired_read_count	pangene_desc	uniref90_ID	uniref90_desc	uniref90_GO	emapper_max_annot_OG	emapper_OG	emapper_max_annot_lvl	eggnog_cat	eggnog_GO	eggnog_desc
DP_00025413	2112	52.6515	30	K04086	UniRef90_F8LKW2	UniRef90_F8LKW2 ATP-dependent Clp protease, ATP-binding subunit n=219 Tax=root TaxID=1 RepID=F8LKW2_STREH	-	4HAHZ	COG0542@1|root,COG0542@2|Bacteria,1TRHP@1239|Firmicutes,4HAHZ@91061|Bacilli	91061|Bacilli	O	GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0008144,GO:0008150,GO:0009405,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044419,GO:0051704,GO:0097159,GO:0097367,GO:1901265,GO:1901363	ATP-dependent Clp protease ATP-binding subunit
DP_00093290	1539	54.6459	9	pacL2A	-	-	-	4HTQ4	COG0474@1|root,COG0474@2|Bacteria,1TPF5@1239|Firmicutes,4HTQ4@91061|Bacilli	91061|Bacilli	P	-	cation transport ATPase
DP_00145717	1380	74.9275	88	K03195	UniRef90_A0A1P8PPF6	UniRef90_A0A1P8PPF6 Type IV secretion system TrbI/VirB10 family protein n=37 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A1P8PPF6_9GAMM	GO:0016021	1SBIS	COG2948@1|root,COG2948@2|Bacteria,1MU7U@1224|Proteobacteria,1SBIS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	-	Bacterial conjugation TrbI-like protein
DP_00184874	1299	58.1986	63	-	UniRef90_Q8DTS9	UniRef90_Q8DTS9 Enolase n=616 Tax=root TaxID=1 RepID=ENO_STRMU	-	4HAKI	COG0148@1|root,COG0148@2|Bacteria,1TP2S@1239|Firmicutes,4HAKI@91061|Bacilli	91061|Bacilli	G	GO:0000015,GO:0000287,GO:0001968,GO:0003674,GO:0003824,GO:0004634,GO:0005488,GO:0005515,GO:0005518,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009405,GO:0009653,GO:0009986,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016835,GO:0016836,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0019899,GO:0030154,GO:0030312,GO:0030435,GO:0032502,GO:0032787,GO:0032991,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035375,GO:0042866,GO:0043167,GO:0043169,GO:0043236,GO:0043436,GO:0043934,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044419,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044877,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046939,GO:0048646,GO:0048856,GO:0048869,GO:0050840,GO:0051186,GO:0051188,GO:0051704,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902494	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
DP_00228456	1230	55.4472	12	K00627	UniRef90_A0A3S4LWD7	UniRef90_A0A3S4LWD7 Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex n=50 Tax=Bacteria TaxID=2 RepID=A0A3S4LWD7_STRSL	GO:0016746	4HDFT	COG0508@1|root,COG0508@2|Bacteria,1TR5N@1239|Firmicutes,4HDFT@91061|Bacilli	91061|Bacilli	C	GO:0003674,GO:0003824,GO:0004742,GO:0006066,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016407,GO:0016417,GO:0016418,GO:0016740,GO:0016746,GO:0016747,GO:0030523,GO:0042180,GO:0042182,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0045149,GO:0045150,GO:0046164,GO:0071704,GO:0140096,GO:1901575,GO:1901615,GO:1901616,GO:1902652	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
DP_00233460	1224	76.7974	48	K01689	-	-	-	4HAKI	COG0148@1|root,COG0148@2|Bacteria,1TP2S@1239|Firmicutes,4HAKI@91061|Bacilli	91061|Bacilli	G	GO:0000015,GO:0000287,GO:0001968,GO:0003674,GO:0003824,GO:0004634,GO:0005488,GO:0005515,GO:0005518,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009405,GO:0009653,GO:0009986,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016835,GO:0016836,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0019899,GO:0030154,GO:0030312,GO:0030435,GO:0032502,GO:0032787,GO:0032991,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035375,GO:0042866,GO:0043167,GO:0043169,GO:0043236,GO:0043436,GO:0043934,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044419,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044877,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046939,GO:0048646,GO:0048856,GO:0048869,GO:0050840,GO:0051186,GO:0051188,GO:0051704,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902494	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
DP_00258923	1188	62.6263	10	-	UniRef90_F9P7J3	UniRef90_F9P7J3 Chaperone protein DnaK n=1 Tax=Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377 TaxID=1035184 RepID=F9P7J3_STRCV	GO:0005524	4HA9S	COG0443@1|root,COG0443@2|Bacteria,1TP1J@1239|Firmicutes,4HA9S@91061|Bacilli	91061|Bacilli	O	GO:0000166,GO:0001871,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005623,GO:0006457,GO:0008144,GO:0008150,GO:0009986,GO:0009987,GO:0017076,GO:0030246,GO:0030247,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044464,GO:0051082,GO:0051704,GO:0097159,GO:0097367,GO:0098630,GO:0098743,GO:1901265,GO:1901363,GO:2001065	Heat shock 70 kDa protein
DP_00299202	1143	70.7787	14	K00975	UniRef90_UPI0016054DB2	UniRef90_UPI0016054DB2 glucose-1-phosphate adenylyltransferase n=1 Tax=Streptococcus salivarius TaxID=1304 RepID=UPI0016054DB2	-	4HAZX	COG0448@1|root,COG0448@2|Bacteria,1TNZW@1239|Firmicutes,4HAZX@91061|Bacilli	91061|Bacilli	H	GO:0000166,GO:0000271,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0008144,GO:0008150,GO:0008152,GO:0008878,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033692,GO:0034637,GO:0034645,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0055114,GO:0070566,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans
DP_00442922	1020	57.7451	27	transposase mutator type	UniRef90_A0A3R6E0I0	UniRef90_A0A3R6E0I0 Mutator family transposase (Fragment) n=1 Tax=Roseburia inulinivorans TaxID=360807 RepID=A0A3R6E0I0_9FIRM	GO:0003677,GO:0004803,GO:0006313	4H33R	COG3328@1|root,COG3328@2|Bacteria,1TP4C@1239|Firmicutes,4H33R@909932|Negativicutes	909932|Negativicutes	L	-	Transposase, mutator
DP_00506918	981	85.6269	12	-	UniRef90_Q5M4T2	UniRef90_Q5M4T2 Carbohydrate ABC uptake transporter membrane-spanning protein n=76 Tax=Streptococcus TaxID=1301 RepID=Q5M4T2_STRT2	GO:0016021,GO:0005886,GO:0022857	4HAX4	COG1079@1|root,COG1079@2|Bacteria,1TP8Y@1239|Firmicutes,4HAX4@91061|Bacilli	91061|Bacilli	S	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	Belongs to the binding-protein-dependent transport system permease family
