# Pathway	MHS328_genefamilies_Abundance	MHS329_genefamilies_Abundance	MHS330_genefamilies_Abundance	MHS331_genefamilies_Abundance	MHS332_genefamilies_Abundance	MHS333_genefamilies_Abundance	MHS334_genefamilies_Abundance	MHS335_genefamilies_Abundance	MHS336_genefamilies_Abundance	MHS337_genefamilies_Abundance	MHS338_genefamilies_Abundance	MHS339_genefamilies_Abundance	MHS341_genefamilies_Abundance	MHS342_genefamilies_Abundance	MHS343_genefamilies_Abundance	MHS344_genefamilies_Abundance	MHS345_genefamilies_Abundance	MHS347_genefamilies_Abundance	MHS349_genefamilies_Abundance	MHS350_genefamilies_Abundance	MHS351_genefamilies_Abundance	MHS355_genefamilies_Abundance	MHS357_genefamilies_Abundance	MHS358_genefamilies_Abundance	MHS360_genefamilies_Abundance	MHS361_genefamilies_Abundance	MHS362_genefamilies_Abundance	MHS363_genefamilies_Abundance	MHS364_genefamilies_Abundance	MHS365_genefamilies_Abundance	MHS366_genefamilies_Abundance	MHS367_genefamilies_Abundance	MHS368_genefamilies_Abundance	MHS369_genefamilies_Abundance	MHS370_genefamilies_Abundance	MHS371_genefamilies_Abundance	MHS372_genefamilies_Abundance	MHS373_genefamilies_Abundance	MHS374_genefamilies_Abundance	MHS375_genefamilies_Abundance	MHS376_genefamilies_Abundance	MHS377_genefamilies_Abundance	MHS378_genefamilies_Abundance	MHS379_genefamilies_Abundance	MHS380_genefamilies_Abundance	MHS381_genefamilies_Abundance	MHS382_genefamilies_Abundance	MHS383_genefamilies_Abundance	MHS384_genefamilies_Abundance	MHS385_genefamilies_Abundance	MHS386_genefamilies_Abundance	MHS387_genefamilies_Abundance	MHS388_genefamilies_Abundance	MHS389_genefamilies_Abundance	MHS390_genefamilies_Abundance	MHS391_genefamilies_Abundance	MHS392_genefamilies_Abundance	MHS393_genefamilies_Abundance	MHS394_genefamilies_Abundance	MHS396_genefamilies_Abundance	MHS398_genefamilies_Abundance	MHS399_genefamilies_Abundance	MHS402_genefamilies_Abundance	MHS405_genefamilies_Abundance	MHS406_genefamilies_Abundance	MHS407_genefamilies_Abundance	MHS408_genefamilies_Abundance	MHS409_genefamilies_Abundance	MHS410_genefamilies_Abundance	MHS411_genefamilies_Abundance	MHS412_genefamilies_Abundance	MHS413_genefamilies_Abundance	MHS414_genefamilies_Abundance	MHS415_genefamilies_Abundance	MHS416_genefamilies_Abundance	MHS418_genefamilies_Abundance	MHS419_genefamilies_Abundance	MHS421_genefamilies_Abundance	MHS422_genefamilies_Abundance	MHS423_genefamilies_Abundance	MHS424_genefamilies_Abundance	MHS425_genefamilies_Abundance	MHS426_genefamilies_Abundance	MHS427_genefamilies_Abundance	MHS428_genefamilies_Abundance	MHS429_genefamilies_Abundance	MHS430_genefamilies_Abundance	MHS432_genefamilies_Abundance	MHS433_genefamilies_Abundance	MHS434_genefamilies_Abundance	MHS435_genefamilies_Abundance	MHS436_genefamilies_Abundance	MHS437_genefamilies_Abundance	MHS438_genefamilies_Abundance	MHS439_genefamilies_Abundance	MHS440_genefamilies_Abundance	MHS441_genefamilies_Abundance	MHS442_genefamilies_Abundance	MHS443_genefamilies_Abundance	MHS593_genefamilies_Abundance	MHS594_genefamilies_Abundance	MHS598_genefamilies_Abundance
UNMAPPED	130545	164988	387398	71844.2	97754.9	89924.9	509549	475600	104063	316717	316977	435070	288037	293735	217447	586118	435920	156169	121226	154817	219673	91107.5	411165	195168	762492	779350	388557	509863	244145	640698	368988	353496	222493	182753	217045	122160	80149.4	175427	132178	368275	108337	77968.3	106929	87828.7	154247	116776	242803	89458.8	74431.2	253067	71512.8	139216	121065	96388.1	91249.4	229594	90294.8	117308	100667	162861	179483	248029	96448.2	224124	96626.4	86274.8	116440	76719.8	428944	112938	189414	87696.8	108741	81244.5	120845	319293	111265	209970	144689	215882	268691	251979	342198	170721	324982	197101	161190	570998	124505	158620	134918	158801	285288	148673	131585	132040	244350	160021	118161	205706	214241	150601
UNINTEGRATED	844109	810548	598314	900256	854280	883783	485879	517646	850813	671559	675131	555008	691920	690409	758968	413026	561401	809086	851325	812873	760661	881834	562363	787070	236600	219170	596136	479462	727614	354561	613008	625778	756350	794570	750570	848063	871548	794400	854630	616062	870836	879036	866479	886809	822284	868820	731979	867662	898757	737624	902219	836508	859141	880460	883079	741715	872615	857267	873236	813310	790121	744012	866510	753841	878142	890158	851584	881372	552283	867386	786295	865502	864531	892707	850649	668141	877790	769736	832461	762560	713431	713702	644705	813418	651886	787173	818409	417699	851430	818848	845679	805016	700219	831437	845457	842433	734324	819853	856394	769679	764533	812169
M00005	1240.11	841.669	338.693	1574.15	4830.12	945.593	240.875	56.8814	806.182	648.494	422.567	595.587	812.009	145.373	399.933	0	139.49	1498.15	1098.38	745.62	540.722	1616.48	983.911	829.135	0	500.505	423.389	340.691	829.192	0	573.546	653.745	580.431	428.549	2313.09	643.643	1531.42	1161.46	562.995	874.583	598.603	2888.22	975.531	1212.67	550.942	496.174	699.766	1655.52	2124.67	319.214	1839.64	381.809	1245.45	1304.68	1007.86	829.728	2305.1	830.404	1653.52	1326.54	2380.73	421.055	1775.44	847.946	1006.28	1448.67	642.849	1619.23	740.204	1025.57	776.688	1323.57	1409.91	996.511	742.253	562.951	489.524	625.805	1384.15	536.281	444.211	1202.28	879.993	679.713	875.43	430.329	1125.56	463.74	1112.79	1126.75	637.531	1972.9	1052.01	1935.47	1196.41	640.942	554.884	496.071	1017.39	520.309	1067.82	1467.75
M00008	0	0	0	0	0	0	0	0	0	0	13.6604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56495	0	0	0	0	0	0	0	28.5914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00019	257.224	232.307	122.977	555.468	38.2607	544.619	0	197.124	501.203	238.457	232.741	67.1595	27.2595	225.848	367.286	0	0	0	435.384	609.227	447.187	832.89	0	283.216	0	0	225.254	177.173	159.063	0	350.829	435.624	497.334	443.452	74.5981	597.215	60.9072	266.051	61.4512	89.0207	438.181	97.2148	601.411	364.837	440.12	31.8736	431.354	23.5821	853.264	11.5495	829.776	330.821	780.028	640.524	208.806	164.416	178.138	447.492	907.63	709.936	35.1253	0	67.7507	758.55	523.167	651.748	633.062	81.2849	558.073	430.01	678.034	319.095	708.478	313.703	459.42	147.837	170.107	421.49	622.655	400.051	318.262	227.421	352.73	178.637	42.9868	365.691	239.456	194.858	56.2667	129.858	14.2823	48.1413	448.369	775.463	595.519	469.883	382.678	305.483	672.475	462.721	537.644	355.488
M00020	242.857	168.9	0	267.368	2.95787	257.705	0	189.276	291.858	0	83.2352	0	0	0	199.566	0	6.12429	80.9317	257.622	447.805	166.252	235.07	0	172.561	0	0	0	0	21.1795	0	192.292	274.324	144.146	361.274	0	423.972	14.6103	273.476	178.537	7.73305	313.414	7.98633	492.592	551.09	383.678	197.708	24.8987	0	269.72	34.4779	239.249	332.635	244.293	230.128	633.975	190.789	28.7985	279.313	306.649	236.46	0	25.8109	21.2373	262.004	272.794	210.794	438.129	2.25427	346.529	229.229	279.314	5.30733	189.924	713.271	336.655	116.438	144.965	231.871	180.894	252.658	229.934	45.3318	73.1028	220.257	25.6619	173.205	195.837	126.666	374.823	9.14709	266.146	0	130.607	226.717	216.655	218.298	467.602	262.339	338.396	331.735	190.575	69.9944
M00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.084	0	0	0	0	0	0	0	0	0	7.22688	0	0	0	0	0	0	0	0	21.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00033	0	0	0	0	0	0	0	0	0	0	64.2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.1711	0	0	0	0	0	0	0	0	49.5612	0	0	0	0	0	0	0	0	0	0	8.34589	7.42887	0	0	0	0	74.0205	14.7839	0.875901	255.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.27316	0	0	0	0	0	0	0	0	0	0	2.38533
