2	-	Acetivibrio_clariflavus_DSM_19732	UniRef90_A0A7X9EEL1
1	-	Acetoanaerobium_sticklandii	UniRef90_C2KVT4
2	-	Acetobacter_pasteurianus_subsp._pasteurianus	UniRef90_A0A6J4JCJ8
1	-	Acetobacteraceae	UniRef90_A0A512DHN7
8	-	Acetobacteraceae	UniRef90_A0A512DJY2
2	-	Achromobacter	UniRef90_A0A1F4GCZ4
1	-	Achromobacter	UniRef90_A0A2M9PCQ8
2	-	Achromobacter	UniRef90_A0A512DL18
2	-	Achromobacter	UniRef90_A0A7S4D7Q9
2	-	Achromobacter	UniRef90_UPI0018EDD1B8
8	-	Achromobacter_deleyi	UniRef90_UPI0018E1648E
2	-	Achromobacter_denitrificans	UniRef90_A0A1W6CVV5
1	-	Achromobacter_denitrificans	UniRef90_A0A257DGB1
1	-	Achromobacter_denitrificans	UniRef90_A0A529LA64
4	-	Achromobacter_insolitus	UniRef90_A0A512DQT1
1	-	Achromobacter_xylosoxidans_A8	UniRef90_A0A357LMX0
3	-	Acidibrevibacterium_fodinaquatile	UniRef90_A0A560EDM2
4	-	Acidihalobacter_aeolianus	UniRef90_A0A6M7U0I2
1	-	Acidiphilium	UniRef90_UPI000B18F662
2	-	Acidipropionibacterium	UniRef90_A0A2L2Z090
2	-	Acidipropionibacterium_acidipropionici	UniRef90_UPI0004B8D917
2	-	Acidovorax	UniRef90_A0A1I1ZVZ9
2	-	Acidovorax	UniRef90_A0A1I2AJS3
1	-	Acidovorax	UniRef90_A0A4R3VKV8
1	-	Acidovorax	UniRef90_A0A5C1W8S6
2	-	Acidovorax	UniRef90_B2U6R3
2	-	Acidovorax	UniRef90_U3G7M3
1	-	Acidovorax	UniRef90_V7F875
4	-	Acidovorax_antarcticus	UniRef90_A0A4Q9GVL7
5	-	Acidovorax_antarcticus	UniRef90_A0A6N1X6S0
6	-	Acidovorax_antarcticus	UniRef90_A0A6N1X7C2
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A1I2EEZ4
8	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A1I2GEC7
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A1I2H248
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_A1TLV5
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_F0Q8E4
8	-	Acidovorax_avenae_subsp._avenae	UniRef90_F0Q8E9
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_UPI0013587A2D
