pangene	baseMean	log2FoldChange	lfcSE	pvalue	padj	Pangenome Class	COG	Description	Enzyme Class	KEGG Orthology	KEGG Pathway	KEGG Reaction	Resistance Product	Resistance	Metabolism
cluster_1	589.7005482361942	0.7677103028445988	0.2810910463588645	0.003708469282361533	0.012572114965564861	core	I	Mevalonate kinase	Hydroxymethylglutaryl-CoA reductase[1.1.1.88]; Hydroxymethylglutaryl-CoA synthase[2.3.3.10]; Mevalonate kinase[2.7.1.36]	hydroxymethylglutaryl-CoA reductase[K00054]; mevalonate kinase[K00869]; hydroxymethylglutaryl-CoA synthase[K01641]	Valine, leucine and isoleucine degradation[map00280]; Butanoate metabolism[map00650]; Terpenoid backbone biosynthesis[map00900]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Peroxisome[map04146]	(S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA[R01978]; (R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+[R02081]; ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate[R02245]	-	-	-
cluster_10	280.29942880172877	0.06767932065212562	0.20079858156188773	0.7281272746863059	0.8205037131382673	core	P	Na( ) H( ) antiporter subunit	NADH:ubiquinone reductase (H(+)-translocating)[1.6.5.3]	NADH-quinone oxidoreductase subunit K[K00340]; multicomponent K+:H+ antiporter subunit C[K05560]; multicomponent Na+:H+ antiporter subunit C[K05567]	Oxidative phosphorylation[map00190]; Metabolic pathways[map01100]	Ubiquinone + NADH + 6 H+ <=> Ubiquinol + NAD+ + 5 H+[R11945]	-	-	-
cluster_100	390.3970964545178	-0.1367114433999897	0.1769567924890347	0.4286003966884267	0.5774909102951304	core	M	transferase	UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.33]; UDP-N-acetylglucosamine--decaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.35]	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase[K02851]	-	UDP-N-acetyl-alpha-D-glucosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> N-Acetyl-D-glucosaminyldiphosphoundecaprenol + UMP[R08856]	-	-	-
cluster_1000	22.936625351589413	-1.2136219439714961	0.8341306175919588	0.032914002284430914	0.0799068263552658	dispensable	EH	COG0115 Branched-chain amino acid aminotransferase 4-amino-4-deoxychorismate lyase	Branched-chain-amino-acid transaminase[2.6.1.42]; Aminodeoxychorismate lyase[4.1.3.38]	branched-chain amino acid aminotransferase[K00826]; 4-amino-4-deoxychorismate lyase[K02619]	Cysteine and methionine metabolism[map00270]; Valine, leucine and isoleucine degradation[map00280]; Valine, leucine and isoleucine biosynthesis[map00290]; Pantothenate and CoA biosynthesis[map00770]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]	L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate[R01090]; L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate[R01214]; L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate[R02199]; 4-Amino-4-deoxychorismate <=> 4-Aminobenzoate + Pyruvate[R05553]; (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate[R10991]	-	-	-
cluster_1001	278.3744633944796	-0.9216825866737277	0.276640918712558	4.158170279545887e-4	0.0017640722398073458	dispensable	T	Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR	Histidine kinase[2.7.13.3]	two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS[K11629]; two-component system, OmpR family, sensor histidine kinase GraS[K19077]	Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]	-	-	-	-
cluster_10018	26.504721265733547	-0.07810040290900142	0.6191569792177771	0.8691976884573136	0.9159287469765239	dispensable	-	-	-	-	-	-	-	-	-
cluster_1002	134.95633202203678	0.19125470133638647	0.3551572232643305	0.554920904266587	0.6904221153380304	dispensable	J	Pseudouridine synthase	23S rRNA pseudouridine(1911/1915/1917) synthase[5.4.99.23]; tRNA pseudouridine(32) synthase[5.4.99.28]; 23S rRNA pseudouridine(746) synthase[5.4.99.29]	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase[K06177]; 23S rRNA pseudouridine1911/1915/1917 synthase[K06180]	-	-	-	-	-
cluster_10021	71.40081201084006	0.254119613237887	0.6271938781523557	0.5949846985244083	0.7255309057079056	dispensable	Q	Methyltransferase	-	-	-	-	-	-	-
cluster_10025	190.1144352200019	-0.8350353427392907	0.9761520808838726	0.14649222449754928	0.25882640626369885	dispensable	D	acetyltransferases and hydrolases with the alpha beta hydrolase fold	Triacylglycerol lipase[3.1.1.3]	triacylglycerol lipase[K01046]	Glycerolipid metabolism[map00561]; Metabolic pathways[map01100]	Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]	-	-	-
cluster_1003	338.1153773584302	1.0092931651161814	0.23531903339933333	7.75317179522662e-6	4.829306160586072e-5	dispensable	I	Carboxylesterase family	-	-	-	-	-	-	-
