feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	bacteria_eggnog_cat	bacteria_eggnog_desc
2Z7SI	238.78530460020392	-0.18105325775870726	0.8055005379967373	0.7819245812852791	0.8627940993212031	S	Protein of unknown function (DUF3388)
2Z88M	374.82900794357084	0.026656337753461292	0.8396868699724295	0.9681219366502258	0.9814447155949537	S	NA
2Z8BZ	1129.303710821793	-0.8483037163157117	0.7553302960496174	0.1793478161834761	0.3002717225496077	S	Replication initiator protein A
2Z8XT	168.91123748285972	-1.5258282323660515	0.8138260365767638	0.020624236885847025	0.05310604591895524	S	YwhD family
2Z9JM	37.66035381469811	-0.18610747150992193	0.7606032227255755	0.7691359053606552	0.8547796304546937	S	NAD-specific glutamate dehydrogenase
2Z9XI	245.32075719790603	-0.5664086528632568	0.782458523107459	0.3794257172375717	0.5153394069943138	S	Nuclease-related domain
2ZAK5	507.1544449399041	-1.1993199789544524	0.9113492581812687	0.08328080948839532	0.16602501582287058	S	Accessory Sec system protein Asp1
2ZBU7	514.339724632261	-1.1069422849521593	0.8461901350414492	0.09913859483703844	0.19028214170334798	S	Protein of unknown function (DUF3027)
2ZBVN	110.45493407592666	-1.1056653753974433	0.7064378537422216	0.06798212796871128	0.1413553117844037	S	Belongs to the UPF0403 family
2ZF80	94.442479051065	-1.3751437315143722	0.8350895960806786	0.03945742397762406	0.08963382510041766	S	NA
2ZFSE	98.04413453252295	-2.4398169390962456	0.8136703878273611	2.0620669033786747e-4	0.001463310779599454	S	Family of unknown function
2ZFWE	152.13890651390287	-0.2062951685410064	0.776058389272712	0.7477034404965357	0.8418465956682247	S	NA
2ZG0D	499.65049030417197	-1.6931222327580535	0.8714326476669575	0.01310084319612945	0.037255522838993124	S	NA
2ZGBU	201.402447759135	-2.793492739521923	0.9217615603772542	7.059234575665562e-5	6.000349389315728e-4	S	NA
2ZH0T	84.40831278967407	-1.9484632878120134	0.8331758176896858	0.003514062112619124	0.013590635220554464	S	Family of unknown function (DUF5327)
2ZJ01	1038.5154799608301	-7.603431582825372	0.9404287375336755	1.4988648077147566e-17	5.796859643836821e-15	S	NA
2ZR52	109.75379044746332	-2.27104312147512	0.8141249822927573	5.614975958187253e-4	0.003115210284024102	S	Putative zincin peptidase
2ZTF8	51.10836344184024	-1.379292720223674	0.8426101045290292	0.03973255669234732	0.09012648856753858	S	NA
301E5	134.80799142767094	-1.0057702306369216	0.7861867386917339	0.11976219752367448	0.22135259207780697	S	biosynthesis protein
302A8	144.95740855487242	-0.6519662825639454	0.803522188003167	0.3185518543487522	0.45419328910370477	S	NA
302WR	116.77185984159509	-2.6958079073808614	0.8113249008304207	3.839292690263197e-5	3.5779432480946777e-4	S	NA
3037F	38.2698065936367	-0.5737683880335502	0.788034183578722	0.37510726107818787	0.5112695443946754	S	NA
3044Z	50.14213125764581	-2.5917571722635055	0.8000613739339434	6.682022499107682e-5	5.711098787911373e-4	S	antibacterial protein
3045R	44.11397635700845	-1.7742447978918894	0.8031054569244099	0.006703190261807421	0.021991498087760956	S	NA
3050P	259.0981107390512	-1.144140644690761	0.8514132442635711	0.08925125470568508	0.1754405222740722	S	NA
3051Q	741.6764265105618	-1.9689842137169546	0.817537034161433	0.002880973388074858	0.01142786110603027	S	NA
3052M	206.25053653902978	-1.0984680338382329	0.7882772433623857	0.08979843429523605	0.1757558533249661	S	NA
3052N	147.84621446533572	-1.3907737159423421	0.877812641081085	0.041852066915788105	0.0938335471285858	S	NA
3052T	180.54054310727966	-0.8764018103263334	0.8410281334773269	0.19001113555525176	0.31138477405082043	S	NA
3053D	158.58880129839605	-0.5764688792242899	0.7649217115372884	0.3649446495979317	0.5012067552562595	S	ABC-2 family transporter protein
3054N	148.5544441231613	-1.7580475639791064	0.7971188406759258	0.006980623093896375	0.02273478721317409	S	NA
3054P	174.1371919756187	-0.7172442029156433	0.7552653330053711	0.2561811478820028	0.3858931214931435	S	Protein of unknown function (DUF2750)
30556	345.56820309148367	-2.4679580049803675	0.8250155803979389	1.9539952983110959e-4	0.0013994586696700303	S	Protein of unknown function, DUF536
30557	340.0655728292337	-2.6502599759002528	0.9422601452782432	1.9226993051496801e-4	0.0013834492209611883	S	Protein of unknown function, DUF536
3056J	268.4229846442906	-1.3735069726817066	0.7162308238055758	0.024586927785958793	0.060566842810315685	S	NA
3056Q	111.88564234207223	0.7675348067628476	0.8492149027383228	0.252933134368438	0.38211118138199873	S	NA
3056X	127.18900934023105	-0.888277795704606	0.7803328599230268	0.16760403687313458	0.28555445489288456	S	NA
3057C	143.54376717955952	-0.5818746003074042	0.7791902571107501	0.3654565093271239	0.5012067552562595	S	NA
3057E	85.57299474190732	-0.13387056317368196	0.787621589261888	0.8359503387752241	0.8944610526651816	S	Domain of unknown function with cystatin-like fold (DUF4467)
3057F	194.99489872333908	-0.6675626289210737	0.7403200779713036	0.28481089268951915	0.42162913970400584	S	NA
3057G	77.52414551681579	-0.2403279998338748	0.8125848165285725	0.7144975925591976	0.8203471553061341	S	NA
3057T	92.21600396587273	-1.090925996761482	0.8595680248599052	0.10655491410106775	0.20102494160286805	K	regulator
30589	93.18580166241398	-1.44715161467487	0.7496352424585563	0.02136861182029724	0.05443820200515979	S	Protein of unknown function (DUF3139)
3058J	201.29371656834482	-2.362098605743448	0.9412605981756496	8.721569218148339e-4	0.004558198506917392	S	NA
30590	83.29702488269018	-1.7098060205964263	0.8094492115368683	0.009288031735392183	0.02828461632805454	S	NA
30595	272.5565791848913	-0.9802118392660439	0.6589185082177422	0.0897336444168804	0.1757558533249661	S	Belongs to the UPF0346 family
3059B	45.30180233474352	-1.1240623043045532	0.7821587707773793	0.08125141721036928	0.16309040234902789	S	NA
3059S	45.468595860184564	-1.6293699596988407	0.7555288168057189	0.009887706757654704	0.029643958050565557	S	NA
3059W	62.777995761089876	-1.5911295076280145	0.8007871905211658	0.014889388318596203	0.04142784843321641	S	NA
305A2	60.63710459743824	-0.9923592824785638	0.7509689756679829	0.11499831734087686	0.21459879001970628	S	NA
