"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Escherichia phage T4, complete genome;168903;linear DNA;1;2681598;NC_000866;2023-01-11
Escherichia phage RB32, complete genome;165890;linear DNA;1;2681602;NC_008515;2023-01-11
Enterobacteria phage RB51, complete genome;168394;linear DNA;1;10693;NC_012635;2023-01-07
Escherichia phage RB14, complete genome;165429;linear DNA;1;2681597;NC_012638;2023-01-11
Shigella phage Shfl2, complete genome;165919;circular DNA;1;1002725;NC_015457;2023-01-08
Escherichia phage vB_EcoM_ACG-C40, complete genome;167396;linear DNA;1;1141141;NC_019399;2023-01-08
Escherichia phage ime09, complete genome;166499;linear DNA;1;1054834;NC_019503;2023-01-08
Escherichia phage wV7, complete genome;166452;linear DNA;1;1054480;NC_019505;2023-01-08
Escherichia phage vB_EcoM_112, complete genome;168470;linear DNA;1;1495285;NC_024125;2023-01-08
Escherichia phage RB3, complete genome;168402;linear DNA;1;31533;NC_025419;2023-01-07
Enterobacteria phage RB27, complete genome;165179;linear DNA;1;69609;NC_025448;2023-01-07
Escherichia phage ECML-134, complete genome;166783;linear DNA;1;1204522;NC_025449;2023-01-08
Shigella phage pSs-1, complete genome;164999;circular DNA;1;1551641;NC_025829;2023-01-08
Escherichia phage HY01, complete genome;166977;linear DNA;1;1434323;NC_027349;2023-01-08
Yersinia phage phiD1, complete genome;167063;linear DNA;1;1206560;NC_027353;2023-01-08
Yersinia phage PST, complete genome;167785;linear DNA;1;1351740;NC_027404;2023-01-08
Enterobacteria phage RB68, complete genome;168401;linear DNA;1;36339;NC_027979;2023-01-07
Escherichia phage AR1, complete genome;167435;linear DNA;1;66711;NC_027983;2023-01-07
Escherichia phage slur14, complete genome;167467;linear DNA;1;1720504;NC_028448;2023-01-08
Escherichia phage slur07, complete genome;167124;linear DNA;1;1720500;NC_028780;2023-01-08
Escherichia phage slur02, complete genome;167298;linear DNA;1;1720494;NC_028927;2023-01-08
