"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Staphylococcus phage phiETA, complete genome;43081;linear DNA;1;2993860;NC_003288;2023-01-11
Staphylococcus phage 187, complete genome;39620;linear DNA;1;2908096;NC_007047;2023-01-11
Staphylococcus phage 37, complete genome;43681;linear DNA;1;2936813;NC_007055;2023-01-11
Staphylococcus phage EW, complete genome;45286;linear DNA;1;2936814;NC_007056;2023-01-11
Staphylococcus phage 96, complete genome;43576;linear DNA;1;2936815;NC_007057;2023-01-11
Staphylococcus phage ROSA, complete genome;43155;linear DNA;1;320843;NC_007058;2023-01-08
Staphylococcus phage 71, complete genome;43114;linear DNA;1;2936816;NC_007059;2023-01-11
Staphylococcus phage 55, complete genome;41902;linear DNA;1;2936817;NC_007060;2023-01-11
Staphylococcus phage 29, complete genome;42802;linear DNA;1;2936818;NC_007061;2023-01-11
Staphylococcus phage 52A, complete genome;41690;linear DNA;1;2908114;NC_007062;2023-01-11
Staphylococcus phage 88, complete genome;43231;linear DNA;1;2908115;NC_007063;2023-01-11
Staphylococcus phage 92, complete genome;42431;linear DNA;1;2908151;NC_007064;2023-01-11
Staphylococcus phage X2, complete genome;43440;linear DNA;1;2908152;NC_007065;2023-01-11
Staphylococcus phage phiETA3, complete genome;43282;circular DNA;1;2994038;NC_008799;2023-01-11
Staphylococcus phage phiMR11, complete genome;43011;linear DNA;1;2994039;NC_010147;2023-01-11
Staphylococcus phage StauST398-1, complete genome;45242;linear DNA;1;1195068;NC_021326;2023-01-08
Staphylococcus phage StauST398-3, complete genome;41392;linear DNA;1;1195071;NC_021332;2023-01-08
Staphylococcus phage SA13, complete genome;42652;circular DNA;1;1195086;NC_021863;2023-01-08
Staphylococcus phage StauST398-5, complete genome;43301;linear DNA;1;1308897;NC_023500;2023-01-08
Staphylococcus phage DW2, complete genome;41941;circular DNA;1;1464127;NC_024391;2023-01-08
Staphylococcus phage phiJB, complete genome;43012;linear DNA;1;1698421;NC_028669;2023-01-08
Staphylococcus phage B166, complete genome;42881;linear DNA;1;1636204;NC_028859;2023-01-08
Staphylococcus phage phinm4, complete genome;43189;linear DNA;1;2911444;NC_028864;2023-01-11
Staphylococcus phage B236, complete genome;43228;linear DNA;1;1636205;NC_028915;2023-01-08
Staphylococcus phage 3MRA, complete genome;41931;linear DNA;1;1505026;NC_028917;2023-01-08
Staphylococcus phage 80, complete genome;42140;linear DNA;1;2913981;NC_030652;2023-01-11
Staphylococcus phage B122, complete genome;43108;linear DNA;1;2848096;NC_054979;2023-01-11
Staphylococcus phage Henu2, complete genome;43513;linear DNA;1;2492948;NC_054980;2023-01-10
Staphylococcus phage vB_SauS-SAP27, complete genome;43444;linear DNA;1;2696345;NC_054981;2023-01-11
Staphylococcus phage Sebago, complete genome;43878;linear DNA;1;2557555;NC_054982;2023-01-10
Staphylococcus phage UPMK_2, complete genome;40955;linear DNA;1;2029631;NC_054983;2023-01-10
