"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Sunn-hemp mosaic virus, complete genome;6483;linear ss-RNA;2;12240;NC_043384;2019-08-22
Sunn-hemp mosaic virus, complete genome;6483;linear RNA;2;12240;NC_043383;2019-08-22
Tobacco mosaic virus, complete genome;6395;linear ss-RNA;1;12242;NC_001367;2018-08-13
Tobacco mild green mosaic virus, complete genome;6355;linear ss-RNA;1;12241;NC_001556;2018-08-13
Odontoglossum ringspot virus, complete genome;6618;linear RNA;1;12238;NC_001728;2018-08-13
Cucumber green mottle mosaic virus, complete genome;6424;linear RNA;1;12235;NC_001801;2018-08-13
Turnip vein-clearing virus, complete genome;6311;linear ss-RNA;1;29272;NC_001873;2018-08-13
Cucumber fruit mottle mosaic virus, complete genome;6562;linear RNA;1;146499;NC_002633;2018-08-13
Tomato mosaic virus, complete genome;6383;linear ss-RNA;1;12253;NC_002692;2018-08-13
Ribgrass mosaic virus, complete genome;6311;linear RNA;1;51680;NC_002792;2018-08-13
Wasabi mottle virus, complete genome;6298;linear RNA;1;1169032;NC_003355;2018-08-13
Kyuri green mottle mosaic virus, complete genome;6514;linear RNA;1;111970;NC_003610;2018-08-13
Pepper mild mottle virus, complete genome;6357;linear ss-RNA;1;12239;NC_003630;2018-08-13
Obuda pepper virus, complete genome;6507;linear ss-RNA;1;31749;NC_003852;2018-08-13
Zucchini green mottle mosaic virus, complete genome;6513;linear RNA;1;111418;NC_003878;2018-08-13
Paprika mild mottle virus, complete genome;6524;linear RNA;1;35281;NC_004106;2018-08-13
Youcai mosaic virus, complete genome;6303;linear ss-RNA;1;228578;NC_004422;2018-08-13
Hibiscus latent Singapore virus, complete genome;6485;linear RNA;1;185955;NC_008310;2018-08-13
Streptocarpus flower break virus, complete genome;6279;linear ss-RNA;1;335187;NC_008365;2018-08-13
Cucumber mottle virus, complete genome;6485;linear RNA;1;388038;NC_008614;2018-08-13
Maracuja mosaic virus, complete genome;6794;linear RNA;1;368736;NC_008716;2018-08-13
Rehmannia mosaic virus, complete genome;6395;linear RNA;1;425279;NC_009041;2018-08-13
Bell pepper mottle virus, complete genome;6375;linear ss-RNA;1;368735;NC_009642;2018-08-13
Brugmansia mild mottle virus, complete genome;6381;linear ss-RNA;1;402399;NC_010944;2018-08-13
Cactus mild mottle virus, complete genome;6449;linear ss-RNA;1;229030;NC_011803;2018-08-13
Frangipani mosaic virus, complete genome;6643;linear ss-RNA;1;99585;NC_014546;2018-08-13
Passion fruit mosaic virus, complete genome;6791;linear RNA;1;1032457;NC_015552;2018-08-13
Rattail cactus necrosis-associated virus, complete genome;6506;linear RNA;1;1123754;NC_016442;2018-08-13
Clitoria yellow mottle virus, complete genome;6514;linear RNA;1;1128119;NC_016519;2018-08-13
Tomato mottle mosaic virus, complete genome;6398;linear RNA;1;1391702;NC_022230;2018-08-13
Yellow tailflower mild mottle virus, complete genome;6379;linear RNA;1;1416026;NC_022801;2018-08-13
Hibiscus latent Fort Pierce virus, complete genome;6431;linear RNA;1;233051;NC_025381;2018-08-13
Plumeria mosaic virus, complete genome;6688;linear RNA;1;1501716;NC_026816;2018-08-13
Tomato brown rugose fruit virus, complete genome;6393;linear ss-RNA;1;1761477;NC_028478;2018-08-13
Tropical soda apple mosaic virus, complete genome;6350;linear RNA;1;327387;NC_030229;2018-08-13
Hoya chlorotic spot virus, complete genome;6386;linear RNA;1;1979541;NC_034509;2018-08-25
Tobacco latent virus, complete genome;1415;linear RNA;1;2083209;NC_038703;2018-08-24
Opuntia virus 2, complete genome;6453;linear RNA;1;2200716;NC_040685;2019-11-13
