LIBID	query_name	unpaired_read_count	pangene	k2_taxon	Uniref90_ID	description_of_target	region
MHS328	MET_00876468	45	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	halocin C8 precursor-like protein	Ch
MHS328	MET_02967399	16	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS328	MET_02967399	16	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS328	MET_00876468	45	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	bacteriocin halocin C8-like domain	Ch
MHS328	MET_03032000	1	MET_03032000	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Ch
MHS328	UniRef90_Q6A9K8	2	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Ch
MHS328	UniRef90_A0A7X9ZJ38	2	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Ch
MHS328	UniRef90_O86860	60	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Ch
MHS328	MET_03027534	19	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ch
MHS330	UniRef90_A0A4Q9WQR6	10	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS330	UniRef90_Q8VSX3	5	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Vf
MHS331	UniRef90_Q8VSX3	6	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Ch
MHS331	MET_02967399	145	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS331	UniRef90_Q6A9K8	1	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Ch
MHS331	UniRef90_Q8VT00	8	-	Staphylococcus_capitis	UniRef90_Q8VT00	cyclic lactone autoinducer peptide	Ch
MHS331	UniRef90_Q8VT03	22	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Ch
MHS331	genome_07259151	3	genome_07259151	Staphylococcus_capitis	-	epsilon family phenol-soluble modulin	Ch
MHS331	UniRef90_A0A7X9ZJ38	39	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Ch
MHS331	MET_02986711	2	MET_02986711	Staphylococcus_capitis	-	gallidermin/nisin family lantibiotic	Ch
MHS331	MET_02967399	145	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS331	DP_08230762	197	DP_08230762	Staphylococcus_epidermidis	UniRef90_A0A0K0PRV8	lacticin 481 family lantibiotic	Ch
MHS332	UniRef90_A0A3S0TL63	1	-	Staphylococcus_epidermidis	UniRef90_A0A3S0TL63	cyclic lactone autoinducer peptide	Tw
MHS332	UniRef90_Q8VSX3	231	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Tw
MHS332	UniRef90_A0A2T9VBC8	2	-	Staphylococcus_epidermidis	UniRef90_A0A2T9VBC8	PSM-delta family phenol-soluble modulin	Tw
MHS332	UniRef90_O86860	13	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Tw
MHS333	UniRef90_Q8VT03	13	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Sc
MHS333	MET_02967399	43	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Sc
MHS333	MET_02967399	43	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS333	MET_03151623	11	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS334	MET_02967399	30	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ac
MHS334	MET_02967399	30	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ac
MHS336	UniRef90_A0A4Q9WQR6	150	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Ac
MHS336	MET_03142466	8	MET_03142466	Staphylococcus_hominis	UniRef90_A0A657M3E8	cyclic lactone autoinducer peptide	Ac
MHS336	UniRef90_O86860	3	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Ac
MHS336	MET_02698842	2	MET_02698842	Staphylococcus_epidermidis	-	plantaricin C family lantibiotic	Ac
MHS336	UniRef90_Q8VSX3	6	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Ac
MHS336	MET_03027534	1	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ac
MHS338	MET_03040834	4	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
