bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7RS|Bacteria	1221	2877.617386756615	S	Protein of unknown function (DUF2891)	MHS331	bacteria_OG
2Z7SI|Bacteria	192	287.0832872113553	S	Protein of unknown function (DUF3388)	MHS331	bacteria_OG
2Z7SZ|Bacteria	7	28.206274685147925	S	3-methyladenine DNA glycosylase	MHS331	bacteria_OG
2Z7TR|Bacteria	19	12.369791666666666	S	Phage portal protein, SPP1 Gp6-like	MHS331	bacteria_OG
2Z7TU|Bacteria	22	18.06268666733783	S	NA	MHS331	bacteria_OG
2Z7U4|Bacteria	299	648.3444382568603	S	succinate dehydrogenase	MHS331	bacteria_OG
2Z7VY|Bacteria	1014	739.5326471483826	S	Psort location Cytoplasmic, score	MHS331	bacteria_OG
2Z7XX|Bacteria	21	16.018306636155607	L	EcoRII C terminal	MHS331	bacteria_OG
2Z802|Bacteria	89	239.62494390327606	S	phage tail protein	MHS331	bacteria_OG
2Z80V|Bacteria	12023	15525.163925737195	E	histidine decarboxylase	MHS331	bacteria_OG
2Z839|Bacteria	4	11.019283746556475	S	Phage portal protein, SPP1 Gp6-like	MHS331	bacteria_OG
2Z83I|Bacteria	2620	2911.8399085744345	S	phosphoenolpyruvate carboxykinase (diphosphate) activity	MHS331	bacteria_OG
2Z889|Bacteria	327	395.5228397221311	S	Histidine phosphatase superfamily (branch 2)	MHS331	bacteria_OG
2Z88M|Bacteria	391	343.22430914318454	S	NA	MHS331	bacteria_OG
2Z88T|Bacteria	4	5.74712643678161	S	NA	MHS331	bacteria_OG
2Z89N|Bacteria	4	12.012012012012011	S	NA	MHS331	bacteria_OG
2Z89R|Bacteria	1392	1837.9119806598092	S	NA	MHS331	bacteria_OG
2Z8BZ|Bacteria	23	32.75221310216893	S	Replication initiator protein A	MHS331	bacteria_OG
2Z8E5|Bacteria	4	4.219409282700422	S	NA	MHS331	bacteria_OG
2Z8H1|Bacteria	10	15.797788309636651	S	Protein of unknown function with HXXEE motif	MHS331	bacteria_OG
2Z8QX|Bacteria	2	3.9215686274509802	S	NA	MHS331	bacteria_OG
2Z8UC|Bacteria	343	588.3720560704326	S	NA	MHS331	bacteria_OG
2Z8VR|Bacteria	24	15.936254980079681	S	NA	MHS331	bacteria_OG
2Z8XT|Bacteria	272	502.87683176574694	S	YwhD family	MHS331	bacteria_OG
2Z90C|Bacteria	1163	2209.502708849601	S	Protein of unknown function (DUF3710)	MHS331	bacteria_OG
2Z97R|Bacteria	94	156.44834360597937	S	Domain of unknown function (DUF4432)	MHS331	bacteria_OG
2Z980|Bacteria	409	1004.6717121157517	S	NA	MHS331	bacteria_OG
2Z9EA|Bacteria	41	72.7217134893924	S	NA	MHS331	bacteria_OG
2Z9GU|Bacteria	1069	1188.6330221477817	S	Carotene biosynthesis associated membrane protein	MHS331	bacteria_OG
2Z9JM|Bacteria	451	1660.9594427592406	S	NAD-specific glutamate dehydrogenase	MHS331	bacteria_OG
