other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MEH9|Others	2	8.547008547008547	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS402	other_OG
1MJPT|Others	145	680.7511737089202	-	-	MHS402	other_OG
23PNB|Others	8	6.472491909385114	V	Type I restriction modification DNA specificity domain	MHS402	other_OG
23R7U|Others	19	79.39279305494932	K	PFAM helix-turn-helix domain protein	MHS402	other_OG
23UPN|Others	43	36.01340033500838	G	COG0477 Permeases of the major facilitator superfamily	MHS402	other_OG
2EV12|Others	10	40.16064257028113	S	Pfam:GVQW	MHS402	other_OG
2SCCX|Others	8	12.698412698412698	-	-	MHS402	other_OG
2SQ9Y|Others	9	33.70786516853932	-	-	MHS402	other_OG
2SWGZ|Others	1	3.7037037037037033	-	-	MHS402	other_OG
2Y1RA|Others	13	24.62121212121212	Q	Isochorismatase family	MHS402	other_OG
381XB|Others	47	279.76190476190476	-	-	MHS402	other_OG
38EJA|Others	14477	50518.7863183586	O	Belongs to the heat shock protein 70 family	MHS402	other_OG
39Y50|Others	6	8.547008547008547	S	Podospora anserina S mat genomic DNA chromosome	MHS402	other_OG
3B9F8|Others	1	5.208333333333333	K	positive regulation of CD8-positive, alpha-beta T cell differentiation	MHS402	other_OG
3B9WN|Others	45	29.41176470588235	S	Reverse transcriptase (RNA-dependent DNA polymerase)	MHS402	other_OG
3BAHK|Others	1	3.623188405797101	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	MHS402	other_OG
3BBAD|Others	1	3.9215686274509802	A	RNA helicase activity	MHS402	other_OG
3BBGP|Others	1	3.623188405797101	Z	ATP binding	MHS402	other_OG
3BCC1|Others	1	4.62962962962963	S	Belongs to the intermediate filament family	MHS402	other_OG
3BEI0|Others	1	3.623188405797101	K	positive regulation of transcription involved in exit from mitosis	MHS402	other_OG
3BIC8|Others	45	71.23487558402626	S	-	MHS402	other_OG
3BPCH|Others	2	5.333333333333333	B	nucleosome assembly	MHS402	other_OG
3BPIW|Others	2	7.017543859649123	L	carbohydrate binding	MHS402	other_OG
3BPYG|Others	16	30.52762530831215	S	proton channel activity	MHS402	other_OG
3BTAV|Others	33	44.907407407407405	S	-	MHS402	other_OG
3BTPZ|Others	44	67.84420338223765	S	interleukin-8 biosynthetic process	MHS402	other_OG
3C1ER|Others	1	5.208333333333333	S	LINE1 type transposase	MHS402	other_OG
3C5NC|Others	1	4.975124378109452	-	-	MHS402	other_OG
3CD2H|Others	4	17.754770257551126	-	-	MHS402	other_OG
3CDE1|Others	1	4.566210045662101	S	Pfam:GVQW	MHS402	other_OG
3CEJU|Others	1	6.0606060606060606	-	-	MHS402	other_OG
3G8C5|Others	2	4.016064257028113	C	cytochrome c oxidase subunit 3	MHS402	other_OG
3G9CH|Others	1	4.444444444444445	G	Transketolase	MHS402	other_OG
3GAB2|Others	1	4.166666666666667	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	MHS402	other_OG
3GDC3|Others	1	3.367003367003367	G	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site	MHS402	other_OG
3GEEJ|Others	2	7.575757575757575	C	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B	MHS402	other_OG
3GGAX|Others	5	5.668934240362812	C	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1	MHS402	other_OG
3GR7K|Others	1	4.166666666666667	-	-	MHS402	other_OG
3XA5E|Others	21	10.447761194029852	S	AAA domain	MHS402	other_OG
3XSSA|Others	2	10.1010101010101	O	Heat-shock protein hsp70	MHS402	other_OG
4QKKV|Others	24	40.816326530612244	S	peptidoglycan catabolic process	MHS402	other_OG
4QKMY|Others	12	15.625	-	-	MHS402	other_OG
4QKP2|Others	7	24.822695035460995	S	YopX protein	MHS402	other_OG
4QKPW|Others	52	122.06572769953051	S	exonuclease activity	MHS402	other_OG
4QKUJ|Others	21	55.84604212055192	S	Single-strand binding protein family	MHS402	other_OG
COG2190|Others	82373	39163.502166158505	G	(PTS) system; phosphoenolpyruvate-dependent sugar phosphotransferase system	MHS402	other_OG
KOG1075|Others	3	5.434782608695651	E	Ribonuclease H protein; intron homing	MHS402	other_OG
