fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	2	8.547008547008547	L	Dna repair helicase rad25	MHS432	fungi_OG
3NTVI|Fungi	27	69.73614187544536	I	cytomegalovirus gh-receptor family protein	MHS432	fungi_OG
3NTVK|Fungi	1233	1324.6168095299086	I	Cral trio domain protein	MHS432	fungi_OG
3NTVM|Fungi	450	437.87978582988535	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS432	fungi_OG
3NTVQ|Fungi	599	679.2230915440234	S	mRNA processing protein	MHS432	fungi_OG
3NTVR|Fungi	83	153.14594014368438	F	Golgi to endosome transport protein	MHS432	fungi_OG
3NTVW|Fungi	72	195.84199508711353	U	snare protein	MHS432	fungi_OG
3NTVY|Fungi	269	481.9064223552562	G	Fructose-2,6-bisphosphatase	MHS432	fungi_OG
3NTVZ|Fungi	281	300.16271576659256	E	dioxygenase	MHS432	fungi_OG
3NTW3|Fungi	3055	2471.030798636616	T	transporter	MHS432	fungi_OG
3NTW4|Fungi	373	345.3149452269171	H	Thiamine biosynthetic bifunctional	MHS432	fungi_OG
3NTW5|Fungi	280	383.7654218917567	B	histone deacetylase	MHS432	fungi_OG
3NTW8|Fungi	488	263.78724895099134	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS432	fungi_OG
3NTW9|Fungi	2583	6716.257162854734	J	Belongs to the universal ribosomal protein uL5 family	MHS432	fungi_OG
3NTWB|Fungi	24	25.477707006369428	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS432	fungi_OG
3NTWE|Fungi	7038	8341.65918989505	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS432	fungi_OG
3NTWG|Fungi	264	185.11546184738955	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS432	fungi_OG
3NTWH|Fungi	541	692.204537332733	J	Belongs to the universal ribosomal protein uS5 family	MHS432	fungi_OG
3NTWM|Fungi	484	328.1656261178112	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	MHS432	fungi_OG
3NTWN|Fungi	151	185.2707770862964	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	MHS432	fungi_OG
3NTWS|Fungi	390	287.79879087198196	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit	MHS432	fungi_OG
3NTWU|Fungi	188	144.3416874318951	T	serine threonine-protein phosphatase	MHS432	fungi_OG
3NTWV|Fungi	336	815.0254017061728	P	Phosphate transporter	MHS432	fungi_OG
3NTWW|Fungi	172	215.25466947153694	S	Mitochondrial protein	MHS432	fungi_OG
3NTWY|Fungi	130	212.488598521375	T	STE STE20 PAKA protein kinase	MHS432	fungi_OG
3NTX1|Fungi	45	132.95163466120457	K	phd transcription factor	MHS432	fungi_OG
3NTX7|Fungi	369	245.53776300839252	UY	Importin 11	MHS432	fungi_OG
3NTXD|Fungi	63	89.41322408814669	L	Dna polymerase gamma	MHS432	fungi_OG
3NTXE|Fungi	251	379.8440829137105	A	Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family	MHS432	fungi_OG
3NTXF|Fungi	6603	14793.947353450249	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS432	fungi_OG
3NTXG|Fungi	151	255.15128624784927	K	-phosphatase	MHS432	fungi_OG
3NTXH|Fungi	501	966.2913662574705	J	Belongs to the class-I aminoacyl-tRNA synthetase family	MHS432	fungi_OG
3NTXI|Fungi	138	181.05079569611536	O	Deoxyhypusine synthase	MHS432	fungi_OG
3NTXM|Fungi	184	171.03788562712077	S	WD-repeat protein pop3	MHS432	fungi_OG
3NTXR|Fungi	184	320.42391009993787	A	factor SLT11	MHS432	fungi_OG
