fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	55	50.13424469792769	L	Dna repair helicase rad25	MHS390	fungi_OG
3NTVI|Fungi	10	26.344290630004917	I	cytomegalovirus gh-receptor family protein	MHS390	fungi_OG
3NTVK|Fungi	544	413.77964667876523	I	Cral trio domain protein	MHS390	fungi_OG
3NTVM|Fungi	121	140.75830663470725	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS390	fungi_OG
3NTVQ|Fungi	124	157.65770520945745	S	mRNA processing protein	MHS390	fungi_OG
3NTVR|Fungi	81	136.25141176102213	F	Golgi to endosome transport protein	MHS390	fungi_OG
3NTVW|Fungi	41	93.33844158698078	U	snare protein	MHS390	fungi_OG
3NTVY|Fungi	128	242.4780999170101	G	Fructose-2,6-bisphosphatase	MHS390	fungi_OG
3NTVZ|Fungi	56	116.6745434643006	E	dioxygenase	MHS390	fungi_OG
3NTW3|Fungi	583	677.253134380295	T	transporter	MHS390	fungi_OG
3NTW4|Fungi	184	160.011768943905	H	Thiamine biosynthetic bifunctional	MHS390	fungi_OG
3NTW5|Fungi	321	365.2356129676997	B	histone deacetylase	MHS390	fungi_OG
3NTW8|Fungi	263	154.4192448792108	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS390	fungi_OG
3NTW9|Fungi	551	1366.3507821196006	J	Belongs to the universal ribosomal protein uL5 family	MHS390	fungi_OG
3NTWB|Fungi	9	20.862180374780763	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS390	fungi_OG
3NTWD|Fungi	38	76.67291872563801	T	serine threonine-protein kinase	MHS390	fungi_OG
3NTWE|Fungi	2979	3536.6575829445187	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS390	fungi_OG
3NTWF|Fungi	88	49.69893046891431	B	histone deacetylase	MHS390	fungi_OG
3NTWG|Fungi	90	67.1260904547588	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS390	fungi_OG
3NTWH|Fungi	109	179.91021562112115	J	Belongs to the universal ribosomal protein uS5 family	MHS390	fungi_OG
3NTWM|Fungi	311	255.65286847720512	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	MHS390	fungi_OG
3NTWN|Fungi	45	85.12029705181673	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	MHS390	fungi_OG
3NTWQ|Fungi	23	22.565492321589883	K	to Saccharomyces cerevisiae NGL3 (YML118W) and NGL2 (YMR285C)	MHS390	fungi_OG
3NTWS|Fungi	141	118.66057361867048	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit	MHS390	fungi_OG
3NTWU|Fungi	148	129.8601513839124	T	serine threonine-protein phosphatase	MHS390	fungi_OG
3NTWV|Fungi	12	31.4807477301854	P	Phosphate transporter	MHS390	fungi_OG
3NTWW|Fungi	38	63.14574009564498	S	Mitochondrial protein	MHS390	fungi_OG
3NTWY|Fungi	120	140.01349302971835	T	STE STE20 PAKA protein kinase	MHS390	fungi_OG
3NTX1|Fungi	210	72.32542630915233	K	phd transcription factor	MHS390	fungi_OG
3NTX5|Fungi	6	13.67786391042205	E	Prephenate dehydratase	MHS390	fungi_OG
