other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MAHG|Others	74	82.22222222222221	S	Source PGD	MHS376	other_OG
1MBRQ|Others	5	17.36111111111111	S	Source PGD	MHS376	other_OG
1MDM3|Others	5	15.57632398753894	S	DUF185 family protein. Source PGD	MHS376	other_OG
1MEH9|Others	682	2365.415286467918	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS376	other_OG
1MERW|Others	5	14.124293785310735	S	function. Source PGD	MHS376	other_OG
1MFAQ|Others	446	1402.5157232704403	S	Source PGD	MHS376	other_OG
1MFKV|Others	47	125.33333333333333	L	Origin recognition complex subunit. Source PGD	MHS376	other_OG
1MFXH|Others	57	116.19628782100179	E	Urease. Source PGD	MHS376	other_OG
1MH8V|Others	25	66.66666666666666	O	Source PGD	MHS376	other_OG
1MI1Z|Others	9	33.70786516853932	S	function. Source PGD	MHS376	other_OG
1MIFZ|Others	8	15.414258188824663	-	-	MHS376	other_OG
1MK9K|Others	184	584.1269841269841	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS376	other_OG
23R0A|Others	4	11.396011396011398	P	PFAM DsrE family protein	MHS376	other_OG
23U59|Others	12	38.46153846153846	E	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate	MHS376	other_OG
23UA2|Others	2	5.420054200542006	O	Belongs to the serpin family	MHS376	other_OG
23WMZ|Others	72	212.79075534394684	-	-	MHS376	other_OG
2EWTI|Others	11	40.32299653417666	-	-	MHS376	other_OG
2F9WG|Others	7	30.460858585858585	S	Pfam:GVQW	MHS376	other_OG
2FC0B|Others	3	13.388150959308454	-	-	MHS376	other_OG
2FDWY|Others	855	2850	-	-	MHS376	other_OG
2FJA9|Others	1	4.694835680751174	S	FAM27 D and E protein family	MHS376	other_OG
2NBM6|Others	111	123.77726250352268	E	-	MHS376	other_OG
2QWJF|Others	7	22.653721682847898	C	photosynthetic electron transport in photosystem II	MHS376	other_OG
2RZGN|Others	876	449.9313910472133	S	plant mutator transposase zinc finger	MHS376	other_OG
2S5UM|Others	2174	3870.384391080614	C	LAGLIDADG endonuclease	MHS376	other_OG
2S6XN|Others	10	40.16064257028113	-	-	MHS376	other_OG
2S6ZE|Others	2	7.326007326007326	-	-	MHS376	other_OG
2S75Z|Others	1	4.504504504504505	-	-	MHS376	other_OG
2S8FT|Others	38	64.95726495726497	K	transferase activity, transferring acyl groups	MHS376	other_OG
