bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7U4|Bacteria	27	96.77419354838709	S	succinate dehydrogenase	MHS358	bacteria_OG
2Z802|Bacteria	18	91.53439153439155	S	phage tail protein	MHS358	bacteria_OG
2Z80P|Bacteria	251	492.156862745098	S	NA	MHS358	bacteria_OG
2Z80V|Bacteria	6454	8030.060543780092	E	histidine decarboxylase	MHS358	bacteria_OG
2Z83I|Bacteria	108	269.59933839943557	S	phosphoenolpyruvate carboxykinase (diphosphate) activity	MHS358	bacteria_OG
2Z8XT|Bacteria	36	96.7741935483871	S	YwhD family	MHS358	bacteria_OG
2Z90C|Bacteria	62	208.47513258299006	S	Protein of unknown function (DUF3710)	MHS358	bacteria_OG
2Z980|Bacteria	77	227.1386430678466	S	NA	MHS358	bacteria_OG
2Z9JM|Bacteria	16	50.79365079365079	S	NAD-specific glutamate dehydrogenase	MHS358	bacteria_OG
2Z9XI|Bacteria	124	137.96296296296296	S	Nuclease-related domain	MHS358	bacteria_OG
2ZARS|Bacteria	218	576.7195767195767	S	NA	MHS358	bacteria_OG
2ZAV8|Bacteria	48	155.9160522075165	S	EcsC protein family	MHS358	bacteria_OG
2ZAVY|Bacteria	115	580.8080808080808	S	NA	MHS358	bacteria_OG
2ZBU7|Bacteria	459	573.0337078651685	S	Protein of unknown function (DUF3027)	MHS358	bacteria_OG
2ZBVN|Bacteria	85	295.79428022110073	S	Belongs to the UPF0403 family	MHS358	bacteria_OG
2ZC43|Bacteria	1247	2126.115104681469	S	NA	MHS358	bacteria_OG
2ZDVV|Bacteria	154	603.9215686274509	S	Protein of unknown function (DUF2530)	MHS358	bacteria_OG
2ZF6Y|Bacteria	538	2490.740740740741	S	Staphylococcus haemolytic protein	MHS358	bacteria_OG
2ZFSE|Bacteria	1044	3866.6666666666665	S	Family of unknown function	MHS358	bacteria_OG
2ZFWE|Bacteria	180	528.8199786957036	S	NA	MHS358	bacteria_OG
2ZGKP|Bacteria	58	152.23097112860893	S	NA	MHS358	bacteria_OG
2ZGWI|Bacteria	197	569.8605624322724	S	NA	MHS358	bacteria_OG
2ZIQJ|Bacteria	58	174.17417417417417	S	NA	MHS358	bacteria_OG
2ZJ01|Bacteria	45	267.85714285714283	S	NA	MHS358	bacteria_OG
2ZJV9|Bacteria	119	489.7119341563786	S	NA	MHS358	bacteria_OG
2ZP1M|Bacteria	4	13.88888888888889	S	NA	MHS358	bacteria_OG
2ZPNR|Bacteria	92	182.45415012289658	S	NA	MHS358	bacteria_OG
2ZRSZ|Bacteria	8	48.484848484848484	S	NA	MHS358	bacteria_OG
2ZTVJ|Bacteria	270	632.6646119361166	S	Protein of unknown function (DUF3618)	MHS358	bacteria_OG
2ZVAX|Bacteria	25	160.25641025641025	S	NA	MHS358	bacteria_OG
2ZVJF|Bacteria	132	321.8826547746039	S	NA	MHS358	bacteria_OG
2ZWGX|Bacteria	24	46.24277456647399	S	Protein of unknown function (DUF3145)	MHS358	bacteria_OG
2ZWTE|Bacteria	1	5.128205128205128	S	Protein of unknown function (DUF2516)	MHS358	bacteria_OG
301E5|Bacteria	111	247.44429315524434	S	biosynthesis protein	MHS358	bacteria_OG
302WR|Bacteria	27	85.53988118326767	S	NA	MHS358	bacteria_OG
3037F|Bacteria	49	217.77777777777777	S	NA	MHS358	bacteria_OG
303XN|Bacteria	2	3.418803418803419	S	LPXTG cell wall anchor motif	MHS358	bacteria_OG
3041H|Bacteria	51	216.94339415858403	S	NA	MHS358	bacteria_OG
3044Z|Bacteria	13	74.20686657974794	S	antibacterial protein	MHS358	bacteria_OG
30454|Bacteria	43	201.87793427230048	S	NA	MHS358	bacteria_OG
3045W|Bacteria	1	5.376344086021505	S	NA	MHS358	bacteria_OG
3045X|Bacteria	65	266.6761484852795	S	NA	MHS358	bacteria_OG
30466|Bacteria	39	171.05263157894737	S	NA	MHS358	bacteria_OG
304HE|Bacteria	63	295.77464788732397	S	NA	MHS358	bacteria_OG
3050P|Bacteria	347	379.96374309392263	S	NA	MHS358	bacteria_OG
3051Q|Bacteria	32	150.23474178403757	S	NA	MHS358	bacteria_OG
3054P|Bacteria	143	210.91445427728613	S	Protein of unknown function (DUF2750)	MHS358	bacteria_OG
3056J|Bacteria	503	987.9084967320262	S	NA	MHS358	bacteria_OG
3056Q|Bacteria	4	9.148486980999296	S	NA	MHS358	bacteria_OG
3057C|Bacteria	134	251.2130726416441	S	NA	MHS358	bacteria_OG
3057F|Bacteria	213	505.2631578947369	S	NA	MHS358	bacteria_OG
3057G|Bacteria	28	68.62745098039215	S	NA	MHS358	bacteria_OG
3057T|Bacteria	2	5.46448087431694	K	regulator	MHS358	bacteria_OG
30589|Bacteria	8	21.916971916971917	S	Protein of unknown function (DUF3139)	MHS358	bacteria_OG
3058S|Bacteria	1	5.291005291005291	S	NA	MHS358	bacteria_OG
30595|Bacteria	145	557.982572982573	S	Belongs to the UPF0346 family	MHS358	bacteria_OG
3059S|Bacteria	17	71.72995780590718	S	NA	MHS358	bacteria_OG
3059T|Bacteria	2	8.88888888888889	S	NA	MHS358	bacteria_OG
305AA|Bacteria	163	623.4177458586908	S	NA	MHS358	bacteria_OG
305AS|Bacteria	48	131.14754098360655	S	NA	MHS358	bacteria_OG
305B4|Bacteria	32	117.21611721611721	N	NA	MHS358	bacteria_OG
305BI|Bacteria	59	157.33333333333334	S	NA	MHS358	bacteria_OG
305BU|Bacteria	297	1062.1834441278886	S	NA	MHS358	bacteria_OG
305BV|Bacteria	55	295.6989247311828	S	regulation of RNA biosynthetic process	MHS358	bacteria_OG
305CA|Bacteria	32	108.08873389518551	S	YozE SAM-like fold	MHS358	bacteria_OG
305CC|Bacteria	48	156.86274509803923	S	NA	MHS358	bacteria_OG
305CS|Bacteria	169	879.0760869565217	S	NA	MHS358	bacteria_OG
305CW|Bacteria	48	202.2058823529412	S	YozE SAM-like fold	MHS358	bacteria_OG
305D2|Bacteria	116	232.93650793650792	S	NA	MHS358	bacteria_OG
305DR|Bacteria	8	48.484848484848484	S	YozE SAM-like fold	MHS358	bacteria_OG
305DU|Bacteria	2	3.766478342749529	S	LPXTG cell wall anchor motif	MHS358	bacteria_OG
305E8|Bacteria	53	178.53975299038729	S	NA	MHS358	bacteria_OG
305EM|Bacteria	2	9.523809523809524	S	NA	MHS358	bacteria_OG
305F5|Bacteria	20	102.56410256410255	S	NA	MHS358	bacteria_OG
305FF|Bacteria	600	2247.191011235955	S	NA	MHS358	bacteria_OG
305FJ|Bacteria	5	32.05128205128205	S	NA	MHS358	bacteria_OG
