virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	1819	1368.4875908435163	S	N-acetylmuramoyl-L-alanine amidase activity	MHS411	virus_OG
4QAKE|Virus	1	3.4722222222222223	S	endonuclease activity	MHS411	virus_OG
4QAQV|Virus	8	12.759170653907496	S	protein disulfide oxidoreductase activity	MHS411	virus_OG
4QAR6|Virus	5	11.82033096926714	L	dUTP diphosphatase activity	MHS411	virus_OG
4QAVQ|Virus	11	19.819819819819816	S	Phage major tail protein 2	MHS411	virus_OG
4QAYV|Virus	19	15.4095701540957	S	Phage portal protein	MHS411	virus_OG
4QAZF|Virus	14	29.166666666666668	S	Protein of unknwon function (DUF3310)	MHS411	virus_OG
4QBNM|Virus	4	5.188067444876784	S	serine-type endopeptidase activity	MHS411	virus_OG
4QBV3|Virus	17	17.00046240101728	S	Phage Terminase	MHS411	virus_OG
4QDKP|Virus	650	1237.1757034038844	S	transaminase activity	MHS411	virus_OG
4QE7B|Virus	23	12.188659247482777	S	metallocarboxypeptidase activity	MHS411	virus_OG
4QFIF|Virus	2	6.802721088435375	S	NA	MHS411	virus_OG
4QGQS|Virus	12	10.335917312661499	S	NA	MHS411	virus_OG
4QHM9|Virus	5	6.313131313131313	S	NA	MHS411	virus_OG
