other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MJPT|Others	9	42.25352112676057	-	-	MHS341	other_OG
23Y3A|Others	16	75.03805175038052	L	ISXO2-like transposase domain	MHS341	other_OG
2EV12|Others	3	11.72787589944865	S	Pfam:GVQW	MHS341	other_OG
2EWTI|Others	6	24.00550100018185	-	-	MHS341	other_OG
2F9WG|Others	30	134.13435936155003	S	Pfam:GVQW	MHS341	other_OG
2FC0B|Others	33	134.02957906282745	-	-	MHS341	other_OG
2S72P|Others	22	37.80068728522337	-	-	MHS341	other_OG
2SCCX|Others	340	551.0422642952764	-	-	MHS341	other_OG
2SQ9Y|Others	20	83.33333333333334	-	-	MHS341	other_OG
37UE8|Others	1	3.9682539682539684	B	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling	MHS341	other_OG
38EJA|Others	667	2327.7552724105794	O	Belongs to the heat shock protein 70 family	MHS341	other_OG
39N4Q|Others	327	216.69980119284295	IQ	Reverse transcriptase (RNA-dependent DNA polymerase)	MHS341	other_OG
39TZY|Others	55	100.18214936247722	I	queuine tRNA-ribosyltransferase activity	MHS341	other_OG
39Y50|Others	114	162.3931623931624	S	Podospora anserina S mat genomic DNA chromosome	MHS341	other_OG
3B942|Others	5	20.080321285140563	T	peptidyl-dipeptidase inhibitor activity	MHS341	other_OG
3B9BR|Others	11	42.63565891472868	T	Neurotransmitter-gated ion-channel ligand binding domain	MHS341	other_OG
3B9CC|Others	4	12.944983818770227	S	zinc finger	MHS341	other_OG
3B9EA|Others	2	7.246376811594202	T	semaphorin receptor binding	MHS341	other_OG
3B9HR|Others	1	6.410256410256411	T	lipoprotein receptor-related protein	MHS341	other_OG
3B9I0|Others	3	18.51851851851852	O	Disintegrin and metalloproteinase domain-containing protein	MHS341	other_OG
3B9I5|Others	23	88.12260536398468	P	voltage-gated sodium channel activity	MHS341	other_OG
3B9K3|Others	1	3.9215686274509802	C	ATP:ADP antiporter activity	MHS341	other_OG
