feature	desc	read_count_sum	RPK_sum	feature_class	LIBID
DP_00016888	-	91	39.24105217766279	other_features	MHS430
DP_00090794	-	251	162.14470284237726	other_features	MHS430
DP_00148552	-	48	35.010940919037196	other_features	MHS430
DP_00161636	-	86	63.988095238095234	other_features	MHS430
DP_00193604	-	38	29.595015576323988	other_features	MHS430
DP_00206966	MYPU_5250	63	49.881235154394304	other_features	MHS430
DP_00217867	-	326	261.8473895582329	other_features	MHS430
DP_00231580	-	42	34.31372549019608	other_features	MHS430
DP_00234319	-	56	45.86404586404586	other_features	MHS430
DP_00258777	-	39	32.7455919395466	other_features	MHS430
DP_00263769	-	30	25.38071065989848	other_features	MHS430
DP_00266931	-	36	30.534351145038165	other_features	MHS430
DP_00290455	-	37	32.11805555555556	other_features	MHS430
DP_00292106	-	20	17.36111111111111	other_features	MHS430
DP_00297045	-	1017	887.4345549738221	other_features	MHS430
DP_00298271	-	81	70.86614173228347	other_features	MHS430
DP_00301523	-	52	45.6140350877193	other_features	MHS430
DP_00307621	-	71	62.61022927689595	other_features	MHS430
DP_00350852	-	67	61.35531135531135	other_features	MHS430
DP_00396714	hypothetical protein	80	75.97340930674264	other_features	MHS430
DP_00402666	-	22	20.952380952380953	other_features	MHS430
DP_00404725	-	374	357.21107927411657	other_features	MHS430
DP_00429606	-	42	40.81632653061225	other_features	MHS430
DP_00434584	-	34	33.13840155945419	other_features	MHS430
DP_00470427	-	14	13.93034825870647	other_features	MHS430
DP_00482835	-	67	67.26907630522088	other_features	MHS430
DP_00511793	-	27	27.607361963190186	other_features	MHS430
DP_00538965	-	49	50.88265835929388	other_features	MHS430
DP_00553171	-	25	26.12330198537095	other_features	MHS430
DP_00565602	-	28	29.44269190325973	other_features	MHS430
DP_00582733	-	28	29.723991507431	other_features	MHS430
DP_00588603	-	114	121.40575079872205	other_features	MHS430
DP_00651498	-	255	280.52805280528054	other_features	MHS430
DP_00674981	-	24	26.666666666666664	other_features	MHS430
DP_00696598	-	39	43.77104377104377	other_features	MHS430
DP_00696945	-	25	28.058361391694724	other_features	MHS430
DP_00747499	-	111	127.58620689655173	other_features	MHS430
DP_00791579	-	53	61.98830409356725	other_features	MHS430
DP_00819692	-	13	15.366430260047283	other_features	MHS430
DP_00832087	hypothetical protein	14	16.607354685646502	other_features	MHS430
DP_00835501	-	32	38.095238095238095	other_features	MHS430
DP_00858101	MYPU_5250	19	22.781774580335732	other_features	MHS430
DP_00861253	-	33	39.711191335740075	other_features	MHS430
DP_00874468	-	90	108.69565217391305	other_features	MHS430
DP_00894523	-	15	18.248175182481752	other_features	MHS430
DP_00969851	-	316	394.50686641697877	other_features	MHS430
DP_00984719	K02004	48	60.37735849056603	other_features	MHS430
DP_01038640	-	29	37.03703703703704	other_features	MHS430
DP_01064740	-	66	85.27131782945736	other_features	MHS430
DP_01092075	-	27	35.15625	other_features	MHS430
DP_01107315	-	536	700.6535947712418	other_features	MHS430
DP_01113612	-	15	19.68503937007874	other_features	MHS430
