fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVR|Fungi	4	14.492753623188404	F	Golgi to endosome transport protein	MHS381	fungi_OG
3NTW0|Fungi	2	8.333333333333334	J	Woronin body major protein	MHS381	fungi_OG
3NTW9|Fungi	60	202.53213956632027	J	Belongs to the universal ribosomal protein uL5 family	MHS381	fungi_OG
3NTWE|Fungi	26	59.27365514744156	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS381	fungi_OG
3NTWV|Fungi	95	83.31918746109885	P	Phosphate transporter	MHS381	fungi_OG
3NTWX|Fungi	16	12.039127163280662	CK	)-reductase	MHS381	fungi_OG
3NTXF|Fungi	100	152.04236840237127	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS381	fungi_OG
3NTXG|Fungi	13	28.322440087145967	K	-phosphatase	MHS381	fungi_OG
3NTXJ|Fungi	3	13.513513513513514	C	Nadh dehydrogenase	MHS381	fungi_OG
3NTXM|Fungi	5	11.737089201877934	S	WD-repeat protein pop3	MHS381	fungi_OG
3NTXU|Fungi	1	3.4722222222222223	A	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly	MHS381	fungi_OG
3NTY7|Fungi	4	24.242424242424242	J	phenylalanyl-tRNA synthetase alpha chain	MHS381	fungi_OG
3NTYD|Fungi	48	49.079754601226995	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS381	fungi_OG
3NTZ0|Fungi	55	98.0392156862745	J	Belongs to the eukaryotic ribosomal protein eS7 family	MHS381	fungi_OG
3NTZB|Fungi	4	6.944444444444445	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS381	fungi_OG
3NTZC|Fungi	3	5.9523809523809526	M	dolichyl-phosphate beta-glucosyltransferase	MHS381	fungi_OG
3NTZD|Fungi	34	42.288557213930346	Q	)-reductase	MHS381	fungi_OG
3NTZE|Fungi	34	36.2087326943557	Q	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily	MHS381	fungi_OG
3NTZM|Fungi	10	41.66666666666667	A	Methyltransferase domain	MHS381	fungi_OG
3NTZQ|Fungi	145	232.83258497266277	J	60S ribosomal protein L7	MHS381	fungi_OG
3NU07|Fungi	72	149.81339563083424	J	Belongs to the universal ribosomal protein uS3 family	MHS381	fungi_OG
3NU10|Fungi	16	26.533996683250415	S	Minor allergen Alt a 7	MHS381	fungi_OG
3NU1D|Fungi	2	5.797101449275363	K	Transcription factor tfiiib complex subunit brf1	MHS381	fungi_OG
3NU1M|Fungi	250	85.73388203017834	P	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	MHS381	fungi_OG
3NU1V|Fungi	19	62.36696466581523	J	Elongation factor	MHS381	fungi_OG
3NU1W|Fungi	32	81.86203774439069	J	Belongs to the universal ribosomal protein uS4 family	MHS381	fungi_OG
3NU20|Fungi	124	130.5452604285823	Q	d-arabinitol	MHS381	fungi_OG
3NU2K|Fungi	14	47.13804713804714	UY	nucleoporin	MHS381	fungi_OG
3NU2N|Fungi	104	85.59670781893004	FP	nucleotidase	MHS381	fungi_OG
3NU2Q|Fungi	37	125.85034013605443	A	factor 8	MHS381	fungi_OG
3NU2R|Fungi	110	122.06468435634176	J	60S ribosomal protein L5	MHS381	fungi_OG
3NU2V|Fungi	56	55.390702274975276	Q	Belongs to the short-chain dehydrogenases reductases (SDR) family	MHS381	fungi_OG
3NU36|Fungi	1	3.4722222222222223	O	mitochondrial presequence protease	MHS381	fungi_OG
3NU3J|Fungi	1164	1389.6104984956808	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	MHS381	fungi_OG
3NU3S|Fungi	1	4.016064257028113	G	Transporter	MHS381	fungi_OG
3NU3Z|Fungi	65	78.88649597192311	E	Aromatic amino acid aminotransferase	MHS381	fungi_OG
3NU46|Fungi	60	89.9097384067502	H	adenosylhomocysteinase	MHS381	fungi_OG
3NU4E|Fungi	583	735.0741799490809	CI	Stearyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates	MHS381	fungi_OG
3NU51|Fungi	169	128.69216536219818	P	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	MHS381	fungi_OG
3NU52|Fungi	217	146.42375168690958	EGP	transporter	MHS381	fungi_OG
3NU5A|Fungi	19	22.781774580335732	I	Enoyl-CoA hydratase isomerase	MHS381	fungi_OG
3NU5E|Fungi	5	21.929824561403507	U	Belongs to the importin alpha family	MHS381	fungi_OG
3NU5S|Fungi	193	212.72819252616216	C	fumarate reductase	MHS381	fungi_OG
3NU5Z|Fungi	138	106.7038232485243	H	Belongs to the citrate synthase family	MHS381	fungi_OG
3NU6E|Fungi	13	9.084556254367575	G	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	MHS381	fungi_OG
3NU6T|Fungi	1	4.385964912280701	C	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	MHS381	fungi_OG
3NU6V|Fungi	5	6.435006435006435	OPU	Vacuolar transporter chaperone	MHS381	fungi_OG
3NU6W|Fungi	30	88.49431818181819	C	ATP-citrate synthase subunit 2	MHS381	fungi_OG
3NU75|Fungi	41	119.06769745148415	O	Belongs to the 14-3-3 family	MHS381	fungi_OG
3NU7V|Fungi	4	11.299435028248588	MN	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family	MHS381	fungi_OG
3NU86|Fungi	8	26.666666666666668	Z	Belongs to the actin family	MHS381	fungi_OG
3NU8C|Fungi	5	19.157088122605362	A	ATP-dependent, RNA helicase	MHS381	fungi_OG
3NU8H|Fungi	35	31.789282470481382	Q	Dehydrogenase	MHS381	fungi_OG
3NU8K|Fungi	215	450.19510563693996	J	60s ribosomal protein	MHS381	fungi_OG
3NU8R|Fungi	46	36.275361174705935	O	Belongs to the peptidase M16 family	MHS381	fungi_OG
