bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7Q7|Bacteria	1080	1462.8278125178588	S	NA	MHS392	bacteria_OG
2Z7SI|Bacteria	5161	7288.7456776966465	S	Protein of unknown function (DUF3388)	MHS392	bacteria_OG
2Z7SZ|Bacteria	160	247.20584295324977	S	3-methyladenine DNA glycosylase	MHS392	bacteria_OG
2Z7TA|Bacteria	122	88.98614150255288	S	Psort location Cytoplasmic, score 8.96	MHS392	bacteria_OG
2Z7TU|Bacteria	137	154.87352472918334	S	NA	MHS392	bacteria_OG
2Z7U4|Bacteria	805	1203.7100599725738	S	succinate dehydrogenase	MHS392	bacteria_OG
2Z7WX|Bacteria	13	27.426160337552744	S	Arylsulfotransferase (ASST)	MHS392	bacteria_OG
2Z80V|Bacteria	1	4.166666666666667	E	histidine decarboxylase	MHS392	bacteria_OG
2Z83G|Bacteria	4	7.8431372549019605	S	NA	MHS392	bacteria_OG
2Z85C|Bacteria	2	4.11522633744856	C	protein-chromophore linkage	MHS392	bacteria_OG
2Z86E|Bacteria	5	9.578544061302681	S	Protein of unknown function (DUF2927)	MHS392	bacteria_OG
2Z87J|Bacteria	2	4.016064257028113	S	Abortive infection C-terminus	MHS392	bacteria_OG
2Z87P|Bacteria	2	7.575757575757575	C	photosynthetic electron transport in photosystem II	MHS392	bacteria_OG
2Z889|Bacteria	786	933.2604579420439	S	Histidine phosphatase superfamily (branch 2)	MHS392	bacteria_OG
2Z88M|Bacteria	6684	5624.325542414182	S	NA	MHS392	bacteria_OG
2Z88T|Bacteria	165	259.6467730325394	S	NA	MHS392	bacteria_OG
2Z89H|Bacteria	2416	2183.4520852268047	S	NA	MHS392	bacteria_OG
2Z89R|Bacteria	525	597.3839114688911	S	NA	MHS392	bacteria_OG
2Z8B6|Bacteria	61	51.08877721943049	S	AIPR protein	MHS392	bacteria_OG
2Z8BZ|Bacteria	721	840.3494142434282	S	Replication initiator protein A	MHS392	bacteria_OG
2Z8ED|Bacteria	4	5.333333333333333	S	NA	MHS392	bacteria_OG
2Z8JM|Bacteria	216	368.4731131067533	S	Domain of unknown function (DUF4194)	MHS392	bacteria_OG
2Z8PQ|Bacteria	971	1259.4851934694816	S	NA	MHS392	bacteria_OG
2Z8QS|Bacteria	122	281.8436465495289	S	NA	MHS392	bacteria_OG
2Z8QX|Bacteria	329	542.3519046341518	S	NA	MHS392	bacteria_OG
2Z8VR|Bacteria	664	446.8621677773128	S	NA	MHS392	bacteria_OG
2Z8W0|Bacteria	172	106.96517412935323	S	NA	MHS392	bacteria_OG
2Z8XT|Bacteria	1194	2688.2221233844266	S	YwhD family	MHS392	bacteria_OG
2Z8ZV|Bacteria	592	520.6684256816183	S	ABC-2 family transporter protein	MHS392	bacteria_OG
2Z90C|Bacteria	1090	1735.2189685291166	S	Protein of unknown function (DUF3710)	MHS392	bacteria_OG
2Z97J|Bacteria	33	15.151515151515152	S	NA	MHS392	bacteria_OG
2Z9CS|Bacteria	566	807.460857217459	S	NA	MHS392	bacteria_OG
2Z9EA|Bacteria	643	1060.1715219045875	S	NA	MHS392	bacteria_OG
2Z9GU|Bacteria	1501	1288.6410225080822	S	Carotene biosynthesis associated membrane protein	MHS392	bacteria_OG
2Z9JM|Bacteria	343	1329.4573643410852	S	NAD-specific glutamate dehydrogenase	MHS392	bacteria_OG
2Z9S9|Bacteria	43	39.01283262801813	S	NA	MHS392	bacteria_OG
2Z9SP|Bacteria	10	12.87001287001287	S	Domain of unknown function (DUF4263)	MHS392	bacteria_OG
2Z9XI|Bacteria	3631	4717.43008977266	S	Nuclease-related domain	MHS392	bacteria_OG
2Z9XS|Bacteria	24	30.046296296296298	S	Abortive infection C-terminus	MHS392	bacteria_OG
2Z9YC|Bacteria	651	972.8978295413469	S	NA	MHS392	bacteria_OG
