fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	154	143.04856207420647	L	Dna repair helicase rad25	MHS575	fungi_OG
3NTVH|Fungi	32	18.44122719302059	Q	amine oxidase	MHS575	fungi_OG
3NTVI|Fungi	168	139.40375080110152	I	cytomegalovirus gh-receptor family protein	MHS575	fungi_OG
3NTVJ|Fungi	2	7.246376811594202	A	RNA recognition domain-containing protein	MHS575	fungi_OG
3NTVK|Fungi	408	250.27413907999718	I	Cral trio domain protein	MHS575	fungi_OG
3NTVM|Fungi	85	82.85113449235115	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS575	fungi_OG
3NTVQ|Fungi	123	148.58788443976138	S	mRNA processing protein	MHS575	fungi_OG
3NTVR|Fungi	66	139.52953129202643	F	Golgi to endosome transport protein	MHS575	fungi_OG
3NTVT|Fungi	1	4.566210045662101	O	leucine carboxyl methyltransferase	MHS575	fungi_OG
3NTVW|Fungi	47	85.50641709448922	U	snare protein	MHS575	fungi_OG
3NTVY|Fungi	179	136.61623714626379	G	Fructose-2,6-bisphosphatase	MHS575	fungi_OG
3NTVZ|Fungi	101	104.21327204989866	E	dioxygenase	MHS575	fungi_OG
3NTW3|Fungi	431	321.45646203499774	T	transporter	MHS575	fungi_OG
3NTW4|Fungi	117	117.41788277320754	H	Thiamine biosynthetic bifunctional	MHS575	fungi_OG
3NTW5|Fungi	417	278.65391323140767	B	histone deacetylase	MHS575	fungi_OG
3NTW8|Fungi	495	215.01738150408463	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS575	fungi_OG
3NTW9|Fungi	36	105.95715018532884	J	Belongs to the universal ribosomal protein uL5 family	MHS575	fungi_OG
3NTWB|Fungi	40	53.74008237406782	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS575	fungi_OG
3NTWD|Fungi	99	106.74194183464783	T	serine threonine-protein kinase	MHS575	fungi_OG
3NTWE|Fungi	113	146.57296176441474	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS575	fungi_OG
3NTWF|Fungi	213	130.42091085239053	B	histone deacetylase	MHS575	fungi_OG
3NTWG|Fungi	154	124.76693424942263	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS575	fungi_OG
3NTWH|Fungi	53	60.307371206130206	J	Belongs to the universal ribosomal protein uS5 family	MHS575	fungi_OG
3NTWM|Fungi	493	399.9332470932741	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	MHS575	fungi_OG
3NTWN|Fungi	83	86.38282392538204	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	MHS575	fungi_OG
3NTWQ|Fungi	96	105.20631686319884	K	to Saccharomyces cerevisiae NGL3 (YML118W) and NGL2 (YMR285C)	MHS575	fungi_OG
3NTWS|Fungi	170	184.66679311910264	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit	MHS575	fungi_OG
3NTWU|Fungi	111	136.41479193862472	T	serine threonine-protein phosphatase	MHS575	fungi_OG
3NTWV|Fungi	3	16.949152542372882	P	Phosphate transporter	MHS575	fungi_OG
3NTWW|Fungi	120	236.60237520042085	S	Mitochondrial protein	MHS575	fungi_OG
3NTWY|Fungi	155	127.0966691914432	T	STE STE20 PAKA protein kinase	MHS575	fungi_OG
3NTX1|Fungi	486	213.37840363471466	K	phd transcription factor	MHS575	fungi_OG
3NTX5|Fungi	17	24.693309910701213	E	Prephenate dehydratase	MHS575	fungi_OG
3NTX6|Fungi	304	182.9131079379309	UY	Nuclear pore complex	MHS575	fungi_OG
3NTX7|Fungi	292	170.27348100652506	UY	Importin 11	MHS575	fungi_OG
3NTXD|Fungi	386	229.44211495299055	L	Dna polymerase gamma	MHS575	fungi_OG
3NTXE|Fungi	54	66.00856193888954	A	Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family	MHS575	fungi_OG
3NTXF|Fungi	62	123.86523075355878	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS575	fungi_OG
3NTXG|Fungi	48	59.005228953639616	K	-phosphatase	MHS575	fungi_OG
3NTXH|Fungi	69	118.04892803566008	J	Belongs to the class-I aminoacyl-tRNA synthetase family	MHS575	fungi_OG
3NTXI|Fungi	78	138.273845737092	O	Deoxyhypusine synthase	MHS575	fungi_OG
3NTXM|Fungi	74	81.16519860426607	S	WD-repeat protein pop3	MHS575	fungi_OG
3NTXR|Fungi	69	79.5241920184056	A	factor SLT11	MHS575	fungi_OG
3NTXU|Fungi	76	72.19706191830983	A	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly	MHS575	fungi_OG
3NTXV|Fungi	140	147.546420714608	O	Glycosyltransferase family 33 protein	MHS575	fungi_OG
3NTXX|Fungi	125	156.1070970676563	I	cdp-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	MHS575	fungi_OG
3NTXY|Fungi	76	109.63388962811563	E	nitrilase	MHS575	fungi_OG
3NTXZ|Fungi	92	114.9582793851416	KL	Transcription factor	MHS575	fungi_OG
3NTY0|Fungi	31	76.94703227716542	S	Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins	MHS575	fungi_OG
3NTY2|Fungi	144	134.54641841138883	C	Fumarate hydratase	MHS575	fungi_OG
3NTY3|Fungi	61	69.27301235456527	H	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol	MHS575	fungi_OG
