fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	93	92.296243935972	L	Dna repair helicase rad25	MHS478	fungi_OG
3NTVI|Fungi	136	120.76823293700384	I	cytomegalovirus gh-receptor family protein	MHS478	fungi_OG
3NTVK|Fungi	216	179.09059041210247	I	Cral trio domain protein	MHS478	fungi_OG
3NTVM|Fungi	102	113.27490109774124	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS478	fungi_OG
3NTVQ|Fungi	101	98.7398675361101	S	mRNA processing protein	MHS478	fungi_OG
3NTVR|Fungi	56	84.29671008871131	F	Golgi to endosome transport protein	MHS478	fungi_OG
3NTVW|Fungi	43	99.47113311690048	U	snare protein	MHS478	fungi_OG
3NTVY|Fungi	81	64.25197169784863	G	Fructose-2,6-bisphosphatase	MHS478	fungi_OG
3NTVZ|Fungi	95	163.27620364290652	E	dioxygenase	MHS478	fungi_OG
3NTW3|Fungi	313	265.72191795838813	T	transporter	MHS478	fungi_OG
3NTW4|Fungi	67	52.50078550599989	H	Thiamine biosynthetic bifunctional	MHS478	fungi_OG
3NTW5|Fungi	82	136.10825692200638	B	histone deacetylase	MHS478	fungi_OG
3NTW8|Fungi	285	153.95651269446688	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS478	fungi_OG
3NTW9|Fungi	26	58.0221345605961	J	Belongs to the universal ribosomal protein uL5 family	MHS478	fungi_OG
3NTWB|Fungi	27	39.970460629557834	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS478	fungi_OG
3NTWD|Fungi	48	68.09242284985635	T	serine threonine-protein kinase	MHS478	fungi_OG
3NTWE|Fungi	62	66.788083392561	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS478	fungi_OG
3NTWF|Fungi	150	94.39445820282953	B	histone deacetylase	MHS478	fungi_OG
3NTWG|Fungi	106	76.9175290871896	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS478	fungi_OG
3NTWH|Fungi	48	62.26493425102499	J	Belongs to the universal ribosomal protein uS5 family	MHS478	fungi_OG
