other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MGDI|Others	24	15.503875968992247	L	DNA mismatch repair protein MLH3. Source PGD	MHS455	other_OG
1MGMC|Others	5	7.092198581560284	S	Serine threonine protein phosphatase 4 regulatory subunit. Source PGD	MHS455	other_OG
1MH8V|Others	4	10.1010101010101	O	Source PGD	MHS455	other_OG
1MK9K|Others	7	22.22222222222222	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS455	other_OG
23WMZ|Others	18	58.969399394931315	-	-	MHS455	other_OG
2D0Q5|Others	6	27.027027027027028	S	RF-1 domain	MHS455	other_OG
2NBM6|Others	160	181.1442866133713	E	-	MHS455	other_OG
2RZGN|Others	67	34.61543983575254	S	plant mutator transposase zinc finger	MHS455	other_OG
2S3Q5|Others	1	3.7878787878787876	S	Intron encoded nuclease repeat motif	MHS455	other_OG
2S5UM|Others	13	34.32405712963548	C	LAGLIDADG endonuclease	MHS455	other_OG
2SD59|Others	1	3.9682539682539684	-	-	MHS455	other_OG
2SF6P|Others	6	25.974025974025974	-	-	MHS455	other_OG
2SR8F|Others	1	3.8314176245210727	-	-	MHS455	other_OG
2SW5Y|Others	1	3.584229390681003	-	-	MHS455	other_OG
2SWXZ|Others	1	4.694835680751174	-	-	MHS455	other_OG
34GN9|Others	1	4.901960784313726	A	Splicing factor 3B subunit 1	MHS455	other_OG
34GZY|Others	1	3.546099290780142	OT	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15	MHS455	other_OG
34HDP|Others	3	8.403361344537815	DO	Anaphase promoting complex subunit 8 / Cdc23	MHS455	other_OG
34JC7|Others	10	6.038647342995169	S	Predicted ATPase of the ABC class	MHS455	other_OG
34JFK|Others	7	29.166666666666668	KT	C-terminal domain on Strawberry notch homologue	MHS455	other_OG
34MTJ|Others	1	4.219409282700422	S	Acetyltransferase (GNAT) family	MHS455	other_OG
37JFH|Others	4	12.461059190031152	F	belongs to the metallo- dependent hydrolases superfamily. Urease alpha subunit family	MHS455	other_OG
389ZI|Others	48	133.33333333333334	-	-	MHS455	other_OG
38B7D|Others	31	22.56186317321688	O	post-chaperonin tubulin folding pathway	MHS455	other_OG
38BDM|Others	2	8.658008658008658	U	GTP binding	MHS455	other_OG
38BS8|Others	12	20.517676767676768	Z	heavy chain	MHS455	other_OG
38CWK|Others	2	4.830917874396135	O	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	MHS455	other_OG
38D6P|Others	7	16.10687246046362	I	phosphopantetheine binding	MHS455	other_OG
38DJE|Others	1	3.7037037037037033	O	protein N-linked glycosylation via asparagine	MHS455	other_OG
38DZP|Others	1	4.016064257028113	E	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	MHS455	other_OG
38FV5|Others	3	6.578947368421052	Q	L-aminoadipate-semialdehyde dehydrogenase activity	MHS455	other_OG
38GS1|Others	8	9.101251422070535	T	Camp-dependent protein kinase	MHS455	other_OG
38HND|Others	10	9.033423667570009	U	cytoplasmic mRNA processing body assembly	MHS455	other_OG
3A1NV|Others	1	4.273504273504273	Z	Belongs to the ATG8 family	MHS455	other_OG
3A3FA|Others	5	15.873015873015873	A	regulation of alternative mRNA splicing, via spliceosome	MHS455	other_OG
3A5W5|Others	2	6.410256410256411	K	helix-loop-helix dna-binding domain-containing protein	MHS455	other_OG
3B9FE|Others	1	3.4013605442176873	J	methionyl-tRNA aminoacylation	MHS455	other_OG
3B9G3|Others	8	7.984031936127744	J	translation release factor activity	MHS455	other_OG
3B9HD|Others	5	13.550135501355014	A	splicing factor 3a, subunit 1	MHS455	other_OG
3B9I2|Others	5	19.157088122605362	E	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis	MHS455	other_OG
3B9P9|Others	2	7.8431372549019605	S	RNA trimethylguanosine synthase activity	MHS455	other_OG
3B9XE|Others	1	3.3333333333333335	JO	La ribonucleoprotein domain family member	MHS455	other_OG
3BA0X|Others	1	4.694835680751174	K	maternal behavior	MHS455	other_OG
3BA18|Others	17	12.67710663683818	O	heat shock	MHS455	other_OG
3BA19|Others	2	3.663003663003663	Q	ATPase activity, coupled to transmembrane movement of substances	MHS455	other_OG
3BA70|Others	1	4.273504273504273	S	D-glutamate cyclase activity	MHS455	other_OG
3BA8A|Others	18	18.61182647208848	DZ	chromatin organization	MHS455	other_OG
