virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	9	24.729420130958466	S	C-5 cytosine-specific DNA methylase	MHS490	virus_OG
4QAIQ|Virus	11	21.956087824351297	S	Caudovirales tail fibre assembly protein	MHS490	virus_OG
4QAIT|Virus	3	9.679370840895341	S	NA	MHS490	virus_OG
4QAIU|Virus	20	40.55489449575528	S	HNH endonuclease	MHS490	virus_OG
4QAK6|Virus	1689	1452.9164103258793	S	N-acetylmuramoyl-L-alanine amidase activity	MHS490	virus_OG
4QAKE|Virus	18	59.34122824047111	S	endonuclease activity	MHS490	virus_OG
4QAKM|Virus	12	19.425444596443228	S	DNA polymerase family A	MHS490	virus_OG
4QAQ8|Virus	2	5.167958656330749	S	NA	MHS490	virus_OG
4QAQ9|Virus	55	18.51851851851852	S	NA	MHS490	virus_OG
4QAQV|Virus	3	10.20618556701031	S	protein disulfide oxidoreductase activity	MHS490	virus_OG
4QAR1|Virus	4	6.259780907668231	S	ATPase activity	MHS490	virus_OG
4QAR6|Virus	2	6.734006734006734	L	dUTP diphosphatase activity	MHS490	virus_OG
4QAR7|Virus	449	338.6123680241327	S	Phage portal protein, SPP1 Gp6-like	MHS490	virus_OG
4QASJ|Virus	100	97.04661868637749	S	Polyomavirus coat protein	MHS490	virus_OG
4QASV|Virus	18	27.525561308114575	S	recA bacterial DNA recombination protein	MHS490	virus_OG
4QATV|Virus	38	66.31762652705062	S	T-antigen specific domain	MHS490	virus_OG
4QAU9|Virus	2	4.662004662004662	S	Single-strand binding protein family	MHS490	virus_OG
4QAUM|Virus	3279	7587.627442725825	S	Early Protein (E6)	MHS490	virus_OG
4QAUS|Virus	2	6.289308176100628	S	flavin adenine dinucleotide binding	MHS490	virus_OG
4QAVB|Virus	6	12.82051282051282	S	defense response to bacterium	MHS490	virus_OG
4QAVQ|Virus	2	3.623188405797101	S	Phage major tail protein 2	MHS490	virus_OG
4QAWG|Virus	314	368.54460093896716	S	DnaB-like helicase C terminal domain	MHS490	virus_OG
4QAWI|Virus	2	9.803921568627452	S	Pfam:Peptidase_S77	MHS490	virus_OG
4QAX0|Virus	16	25.157232704402514	S	virus tail	MHS490	virus_OG
4QAXX|Virus	14	16.091954022988507	S	Phage terminase large subunit (GpA)	MHS490	virus_OG
4QAY9|Virus	262	287.74779751411705	S	hydrolase activity, acting on acid anhydrides	MHS490	virus_OG
4QAZF|Virus	2	7.620769826918109	S	Protein of unknwon function (DUF3310)	MHS490	virus_OG
4QAZJ|Virus	24	14.260249554367201	S	Phage portal protein, lambda family	MHS490	virus_OG
4QB07|Virus	20	46.74560792508319	S	NA	MHS490	virus_OG
4QB0T|Virus	21	34.146341463414636	S	Protein of unknown function (DUF669)	MHS490	virus_OG
4QB0W|Virus	1	3.9215686274509802	S	Protein of unknown function (DUF1064)	MHS490	virus_OG
4QB31|Virus	3063	10848.588641403525	S	E7 protein, Early protein	MHS490	virus_OG
4QB40|Virus	6	10.976242348791368	S	DNA polymerase family B	MHS490	virus_OG
4QB54|Virus	1	3.9215686274509802	S	NA	MHS490	virus_OG
4QB5I|Virus	180	160.71257765291037	S	N-methyltransferase activity	MHS490	virus_OG
4QB93|Virus	2	7.8431372549019605	S	Rho termination factor, N-terminal domain	MHS490	virus_OG
4QB9S|Virus	4	11.11111111111111	S	Phage major capsid protein E	MHS490	virus_OG
4QBBN|Virus	8	16.537586585895767	S	Siphovirus Gp157	MHS490	virus_OG
4QBCW|Virus	6	21.714452437344004	S	Phage gp6-like head-tail connector protein	MHS490	virus_OG
4QBF8|Virus	187	199.67475386779185	S	Phage tail protein	MHS490	virus_OG
4QBH1|Virus	119	178.23634807277432	S	AAA domain	MHS490	virus_OG
4QBH7|Virus	8	19.753086419753085	S	DNA ligase (NAD+) activity	MHS490	virus_OG
4QBHW|Virus	45	107.9136690647482	S	NA	MHS490	virus_OG
4QBIH|Virus	5	15.15151515151515	S	recombinase activity	MHS490	virus_OG
4QBK8|Virus	5	12.919896640826874	S	NA	MHS490	virus_OG
4QBKW|Virus	4	12.345679012345679	S	Ogr/Delta-like zinc finger	MHS490	virus_OG
4QBMM|Virus	241	245.3926168585277	S	NA	MHS490	virus_OG
4QBV3|Virus	544	364.9469133209574	S	Phage Terminase	MHS490	virus_OG
4QC2T|Virus	6	8.810572687224669	S	NA	MHS490	virus_OG
4QC60|Virus	5	8.635578583765113	S	NA	MHS490	virus_OG
4QC7C|Virus	92	90.99901088031653	S	NA	MHS490	virus_OG
4QCB0|Virus	41	83.66456238796664	S	nuclease activity	MHS490	virus_OG
4QCBH|Virus	1	4.11522633744856	S	NA	MHS490	virus_OG
4QCR1|Virus	25904	16375.80564055055	S	Late Protein L2	MHS490	virus_OG
4QCUC|Virus	3	12.195121951219512	S	endodeoxyribonuclease activity	MHS490	virus_OG
4QCW3|Virus	19	14.728682170542635	S	Peptidase family S49	MHS490	virus_OG
4QCXA|Virus	10	6.858710562414267	S	transferase activity	MHS490	virus_OG
4QCXV|Virus	5	20.833333333333336	S	NA	MHS490	virus_OG
4QCYR|Virus	3	11.76470588235294	S	gpW	MHS490	virus_OG
