virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIK|Virus	3	3.9840637450199203	S	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	MHS542	virus_OG
4QAJ1|Virus	15	23.474178403755868	S	Domain of unknown function (DUF4355)	MHS542	virus_OG
4QAK6|Virus	297	329.844708739166	S	N-acetylmuramoyl-L-alanine amidase activity	MHS542	virus_OG
4QAKE|Virus	24	69.8190508706043	S	endonuclease activity	MHS542	virus_OG
4QAKM|Virus	10	11.904761904761905	S	DNA polymerase family A	MHS542	virus_OG
4QAMU|Virus	39	37.35632183908046	S	Baseplate J-like protein	MHS542	virus_OG
4QAPV|Virus	7	7.070707070707071	S	DNA binding	MHS542	virus_OG
4QAQE|Virus	21	20	S	Phage integrase family	MHS542	virus_OG
4QAQV|Virus	18	48.47316594600487	S	protein disulfide oxidoreductase activity	MHS542	virus_OG
4QAR6|Virus	28	52.28251507321274	L	dUTP diphosphatase activity	MHS542	virus_OG
4QAR7|Virus	21	14.028056112224448	S	Phage portal protein, SPP1 Gp6-like	MHS542	virus_OG
4QARF|Virus	15	11.60092807424594	S	Pfam:Terminase_3C	MHS542	virus_OG
4QAU0|Virus	3	13.157894736842104	S	NA	MHS542	virus_OG
4QAU9|Virus	5	11.82033096926714	S	Single-strand binding protein family	MHS542	virus_OG
4QAUM|Virus	2	4.694835680751174	S	Early Protein (E6)	MHS542	virus_OG
4QAVQ|Virus	23	40.87991082809736	S	Phage major tail protein 2	MHS542	virus_OG
4QAWG|Virus	41	28.472222222222225	S	DnaB-like helicase C terminal domain	MHS542	virus_OG
4QAX8|Virus	23	29.526925273926363	S	calcium ion binding	MHS542	virus_OG
4QAXQ|Virus	15	19.23076923076923	S	Ribonucleotide reductase, barrel domain	MHS542	virus_OG
4QAXX|Virus	69	108.60686726875497	S	Phage terminase large subunit (GpA)	MHS542	virus_OG
4QAY9|Virus	60	77.37493747052693	S	hydrolase activity, acting on acid anhydrides	MHS542	virus_OG
4QAYN|Virus	22	37.41496598639456	S	Pfam:Phage_TTP_1	MHS542	virus_OG
4QAYV|Virus	105	74.96967815735168	S	Phage portal protein	MHS542	virus_OG
4QAZ6|Virus	44	25.02844141069397	S	Phage tail sheath protein	MHS542	virus_OG
4QAZF|Virus	4	17.543859649122805	S	Protein of unknwon function (DUF3310)	MHS542	virus_OG
4QB0C|Virus	12	19.607843137254903	S	Endodeoxyribonuclease RusA	MHS542	virus_OG
4QB31|Virus	3	13.248043071312587	S	E7 protein, Early protein	MHS542	virus_OG
4QB3B|Virus	6	19.801980198019802	S	Bacterial DNA-binding protein	MHS542	virus_OG
4QB5I|Virus	15	20.5761316872428	S	N-methyltransferase activity	MHS542	virus_OG
4QB6U|Virus	2	4.7281323877068555	S	Terminase small subunit	MHS542	virus_OG
4QBCW|Virus	9	27.272727272727273	S	Phage gp6-like head-tail connector protein	MHS542	virus_OG
4QBF8|Virus	1	3.745318352059925	S	Phage tail protein	MHS542	virus_OG
4QBHW|Virus	13	22.336769759450174	S	NA	MHS542	virus_OG
4QBKB|Virus	11	40.74074074074074	S	NA	MHS542	virus_OG
4QBV3|Virus	74	43.29571546552678	S	Phage Terminase	MHS542	virus_OG
4QC3R|Virus	4	17.38934056007227	S	NA	MHS542	virus_OG
4QC87|Virus	8	12.1765601217656	S	N-methyltransferase activity	MHS542	virus_OG
4QC90|Virus	2	3.7878787878787876	S	Bacterial PH domain	MHS542	virus_OG
4QCCS|Virus	3	8.130081300813009	S	Bacteriophage holin	MHS542	virus_OG
4QCHZ|Virus	17	23.319615912208505	S	NA	MHS542	virus_OG
4QCUC|Virus	2	4.901960784313726	S	endodeoxyribonuclease activity	MHS542	virus_OG
4QD4X|Virus	4	9.523809523809524	S	NA	MHS542	virus_OG
4QDCQ|Virus	3	6.25	S	Domain of unknown function (DUF1768)	MHS542	virus_OG
4QDGV|Virus	15	25.252525252525253	S	catalytic activity	MHS542	virus_OG
4QE0T|Virus	3	10	S	NA	MHS542	virus_OG
4QE7B|Virus	2	7.326007326007326	S	metallocarboxypeptidase activity	MHS542	virus_OG
4QED9|Virus	88	63.2183908045977	S	NA	MHS542	virus_OG
4QEE7|Virus	163	47.16435185185185	S	Pfam:DUF4815	MHS542	virus_OG
4QEH2|Virus	6	14.705882352941178	S	NA	MHS542	virus_OG
4QENU|Virus	8	23.49896480331263	S	NA	MHS542	virus_OG
4QF2N|Virus	1	5.847953216374268	S	NA	MHS542	virus_OG
4QF51|Virus	1	3.745318352059925	S	NA	MHS542	virus_OG
4QF88|Virus	34	37.52759381898455	S	NA	MHS542	virus_OG
4QFB2|Virus	1	5.46448087431694	S	NA	MHS542	virus_OG
4QFBG|Virus	13	28.69757174392936	S	NA	MHS542	virus_OG
4QFCD|Virus	3	8.547008547008547	S	NA	MHS542	virus_OG
4QFEH|Virus	10	31.241436009865716	S	NA	MHS542	virus_OG
4QFIF|Virus	1	4.065040650406504	S	NA	MHS542	virus_OG
4QFMI|Virus	11	11.603375527426161	S	PD-(D/E)XK nuclease superfamily	MHS542	virus_OG
4QFQI|Virus	19	28.787878787878785	S	NA	MHS542	virus_OG
4QFVV|Virus	23	34.226190476190474	S	Pfam:HNHc_6	MHS542	virus_OG
