bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7HS|Bacteria	1	6.0606060606060606	S	Psort location CytoplasmicMembrane, score	MHS474	bacteria_OG
2Z7JT|Bacteria	45	43.103448275862064	P	2-keto-3-deoxygluconate:proton symporter activity	MHS474	bacteria_OG
2Z7JY|Bacteria	62	77.01297963292284	S	Phage major capsid protein E	MHS474	bacteria_OG
2Z7RJ|Bacteria	2	3.6429872495446265	S	InterPro IPR011630	MHS474	bacteria_OG
2Z7RS|Bacteria	3198	6729.692651977867	S	Protein of unknown function (DUF2891)	MHS474	bacteria_OG
2Z7SI|Bacteria	8	9.66183574879227	S	Protein of unknown function (DUF3388)	MHS474	bacteria_OG
2Z7SZ|Bacteria	27	30.40851175620649	S	3-methyladenine DNA glycosylase	MHS474	bacteria_OG
2Z7TF|Bacteria	120	193.85211060328416	S	Uncharacterized protein conserved in bacteria (DUF2236)	MHS474	bacteria_OG
2Z7TR|Bacteria	66	56.23302460792794	S	Phage portal protein, SPP1 Gp6-like	MHS474	bacteria_OG
2Z7TU|Bacteria	131	140.05756261217488	S	NA	MHS474	bacteria_OG
2Z7U4|Bacteria	1377	3113.713267873992	S	succinate dehydrogenase	MHS474	bacteria_OG
2Z7UG|Bacteria	7	13.48747591522158	S	Protein of unknown function (DUF2840)	MHS474	bacteria_OG
2Z7VI|Bacteria	37	46.89245395127748	S	Psort location Cytoplasmic, score	MHS474	bacteria_OG
2Z7VY|Bacteria	9061	9336.721347189203	S	Psort location Cytoplasmic, score	MHS474	bacteria_OG
2Z7Z6|Bacteria	2	5.602240896358544	S	Phage portal protein, SPP1 family	MHS474	bacteria_OG
2Z802|Bacteria	1401	3682.725046544361	S	phage tail protein	MHS474	bacteria_OG
2Z809|Bacteria	29	11.507936507936508	S	NA	MHS474	bacteria_OG
2Z80V|Bacteria	16	22.922728951853845	E	histidine decarboxylase	MHS474	bacteria_OG
2Z824|Bacteria	8	17.660044150110373	S	Protein of unknown function (DUF3158)	MHS474	bacteria_OG
2Z83I|Bacteria	14603	14905.653832155982	S	phosphoenolpyruvate carboxykinase (diphosphate) activity	MHS474	bacteria_OG
2Z85F|Bacteria	1	4.444444444444445	S	Domain of unknown function (4846)	MHS474	bacteria_OG
2Z865|Bacteria	26	33.205619412515965	S	NA	MHS474	bacteria_OG
2Z889|Bacteria	130	185.1188847712451	S	Histidine phosphatase superfamily (branch 2)	MHS474	bacteria_OG
