fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTYP|Fungi	7	17.13505625382479	IJT	acetamidase	MHS547	fungi_OG
3NU06|Fungi	1	3.436426116838488	A	Multiple RNA-binding domain-containing protein	MHS547	fungi_OG
3NU0X|Fungi	1	4.219409282700422	K	Rna polymerase ii transcription elongation factor	MHS547	fungi_OG
3NU1C|Fungi	2	4.166666666666667	KL	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	MHS547	fungi_OG
3NU1R|Fungi	2	9.00900900900901	G	Belongs to the protein kinase superfamily	MHS547	fungi_OG
3NU2R|Fungi	1	3.436426116838488	J	60S ribosomal protein L5	MHS547	fungi_OG
3NU32|Fungi	1	3.7037037037037033	H	Belongs to the eukaryotic NMN adenylyltransferase family	MHS547	fungi_OG
3NU4W|Fungi	2	3.5650623885918	S	NA	MHS547	fungi_OG
3NU58|Fungi	4	8.098252289829619	E	Atp phosphoribosyltransferase	MHS547	fungi_OG
3NU5K|Fungi	2	3.7878787878787876	O	Cleaves proteins, imported into the mitochondrion, to their mature size. While most mitochondrial precursor proteins are processed to the mature form in one step by mitochondrial processing peptidase (MPP), the sequential cleavage by MIP of an octapeptide after initial processing by MPP is a required step for a subgroup of nuclear-encoded precursor proteins destined for the matrix or the inner membrane (By similarity)	MHS547	fungi_OG
3NU6F|Fungi	2	3.5087719298245617	J	required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine	MHS547	fungi_OG
3NU6M|Fungi	1	5.208333333333333	O	26s proteasome non-atpase regulatory subunit 11	MHS547	fungi_OG
3NU6S|Fungi	2	5.012531328320802	A	P-loop containing nucleoside triphosphate hydrolase protein	MHS547	fungi_OG
3NU6Y|Fungi	2	4.016064257028113	U	exocyst complex component Sec5	MHS547	fungi_OG
3NU7J|Fungi	1	3.7037037037037033	T	GPI ethanolamine phosphate transferase	MHS547	fungi_OG
3NU7U|Fungi	4	15.84813653779171	G	transporter	MHS547	fungi_OG
3NU8A|Fungi	2	3.3333333333333335	U	ap-1 complex subunit gamma-1	MHS547	fungi_OG
3NU8V|Fungi	2	6.802721088435375	I	Fatty acid transporter	MHS547	fungi_OG
3NUB0|Fungi	1	4.11522633744856	U	Belongs to the adaptor complexes small subunit family	MHS547	fungi_OG
3NUBK|Fungi	2	4.62962962962963	O	Proteasome	MHS547	fungi_OG
3NUBR|Fungi	2	3.436426116838488	E	Dihydroxy-acid dehydratase	MHS547	fungi_OG
3NUCS|Fungi	1	4.504504504504505	E	Aspartate aminotransferase	MHS547	fungi_OG
3NUDF|Fungi	2	6.410256410256411	P	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium	MHS547	fungi_OG
3NUE1|Fungi	1	3.8314176245210727	H	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway	MHS547	fungi_OG
3NUEG|Fungi	1	4.016064257028113	G	Belongs to the arginase family	MHS547	fungi_OG
3NUEW|Fungi	2	3.6832412523020257	T	serine threonine-protein phosphatase	MHS547	fungi_OG
3NUEZ|Fungi	5	21.33135886044708	S	RAS-like protein	MHS547	fungi_OG
3NUF6|Fungi	3	5.780346820809249	L	mrs7 family	MHS547	fungi_OG
3NUF8|Fungi	3	5.405405405405405	S	Aureobasidin resistance protein Aur1	MHS547	fungi_OG
3NUFI|Fungi	1	3.584229390681003	A	Belongs to the DEAD box helicase family	MHS547	fungi_OG
3NUH0|Fungi	2	4.166666666666667	JK	Ribosome biogenesis protein	MHS547	fungi_OG
3NUHF|Fungi	2	4.065040650406504	A	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding	MHS547	fungi_OG
3NUI3|Fungi	2	4.065040650406504	A	mrna export factor mex67	MHS547	fungi_OG
3NUI6|Fungi	1	5.649717514124294	C	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	MHS547	fungi_OG
3NUI9|Fungi	3	5.780346820809249	M	13-beta-glucan synthase	MHS547	fungi_OG
3NUJ0|Fungi	1	4.273504273504273	H	Catalyzes the ferrous insertion into protoporphyrin IX	MHS547	fungi_OG
3NUJN|Fungi	2	9.00900900900901	O	Retinoblastoma-binding protein	MHS547	fungi_OG
3NUJZ|Fungi	1	4.219409282700422	P	zinc transporter	MHS547	fungi_OG
3NUKB|Fungi	1	3.367003367003367	E	N-acetylglutamate synthase involved in arginine biosynthesis	MHS547	fungi_OG
