virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	187	156.30588786939265	S	N-acetylmuramoyl-L-alanine amidase activity	MHS571	virus_OG
4QAKE|Virus	3	9.900990099009901	S	endonuclease activity	MHS571	virus_OG
4QAR7|Virus	29	21.87028657616893	S	Phage portal protein, SPP1 Gp6-like	MHS571	virus_OG
4QAWG|Virus	11	12.910798122065728	S	DnaB-like helicase C terminal domain	MHS571	virus_OG
4QBV3|Virus	13	8.597883597883598	S	Phage Terminase	MHS571	virus_OG
4QDBK|Virus	7	20.28985507246377	S	NA	MHS571	virus_OG
4QDV8|Virus	2	4.1928721174004195	S	NA	MHS571	virus_OG
4QDW3|Virus	5	4.9603174603174605	S	Phage Connector (GP10)	MHS571	virus_OG
4QE1H|Virus	4	16.06425702811245	S	NA	MHS571	virus_OG
4QFMI|Virus	23	23.735810113519094	S	PD-(D/E)XK nuclease superfamily	MHS571	virus_OG
4QGVM|Virus	8	22.408963585434176	S	NA	MHS571	virus_OG
4QHQD|Virus	11	13.282247765006385	S	NA	MHS571	virus_OG
