feature	desc	read_count_sum	RPK_sum	feature_class	LIBID
DP_00016888	-	84	36.222509702457955	other_features	MHS572
DP_00038430	-	31	16.221873364730506	other_features	MHS572
DP_00040999	-	34	18.075491759702285	other_features	MHS572
DP_00041408	-	23	12.247071352502664	other_features	MHS572
DP_00043949	-	34	18.36844948676391	other_features	MHS572
DP_00045425	-	17	9.25925925925926	other_features	MHS572
DP_00056273	hypothetical protein	17	9.753298909925416	other_features	MHS572
DP_00071391	-	33	20.072992700729927	other_features	MHS572
DP_00090794	-	72	46.51162790697674	other_features	MHS572
DP_00097708	-	12	7.889546351084813	other_features	MHS572
DP_00106277	-	63	42.25352112676056	other_features	MHS572
DP_00133128	-	161	114.18439716312058	other_features	MHS572
DP_00148552	-	117	85.33916849015317	other_features	MHS572
DP_00161636	-	67	49.851190476190474	other_features	MHS572
DP_00190060	-	34	26.356589147286822	other_features	MHS572
DP_00190412	-	30	23.25581395348837	other_features	MHS572
DP_00206966	MYPU_5250	31	24.54473475851148	other_features	MHS572
DP_00211356	-	20	15.94896331738437	other_features	MHS572
DP_00217867	-	35	28.112449799196785	other_features	MHS572
DP_00231580	-	86	70.26143790849673	other_features	MHS572
DP_00231636	-	48	39.21568627450981	other_features	MHS572
DP_00233426	hypothetical protein	2075	1695.2614379084969	other_features	MHS572
DP_00234319	-	117	95.82309582309581	other_features	MHS572
DP_00237226	-	31	25.451559934318556	other_features	MHS572
DP_00238109	-	27	22.22222222222222	other_features	MHS572
DP_00243925	-	43	35.56658395368073	other_features	MHS572
DP_00248551	-	23	19.11886949293433	other_features	MHS572
DP_00248563	-	7	5.818786367414796	other_features	MHS572
DP_00258777	-	100	83.9630562552477	other_features	MHS572
DP_00266931	-	122	103.47752332485156	other_features	MHS572
DP_00274171	-	10	8.547008547008547	other_features	MHS572
DP_00277130	hypothetical protein	34	29.134532990574122	other_features	MHS572
DP_00279852	-	15	12.88659793814433	other_features	MHS572
DP_00287611	-	55	47.61904761904762	other_features	MHS572
DP_00290455	-	90	78.125	other_features	MHS572
DP_00292106	-	8	6.944444444444445	other_features	MHS572
DP_00307621	-	22	19.40035273368607	other_features	MHS572
DP_00312200	-	12	10.638297872340427	other_features	MHS572
DP_00340496	-	8	7.266121707538601	other_features	MHS572
DP_00350852	-	8	7.326007326007326	other_features	MHS572
DP_00353426	-	63	57.85123966942149	other_features	MHS572
DP_00376744	-	10	9.337068160597573	other_features	MHS572
DP_00383071	-	50	46.948356807511736	other_features	MHS572
DP_00396714	hypothetical protein	127	120.60778727445395	other_features	MHS572
DP_00404725	-	38	36.29417382999045	other_features	MHS572
DP_00408661	-	74	70.88122605363985	other_features	MHS572
DP_00425737	-	2488	2410.8527131782944	other_features	MHS572
DP_00427356	-	11	10.65891472868217	other_features	MHS572
DP_00429606	-	86	83.57628765792032	other_features	MHS572
DP_00434584	-	1378	1343.0799220272904	other_features	MHS572
DP_00440921	-	32	31.280547409579672	other_features	MHS572
DP_00447276	-	40	39.33136676499509	other_features	MHS572
DP_00472965	-	101	100.79840319361277	other_features	MHS572
DP_00487182	-	13	13.091641490433032	other_features	MHS572
DP_00505597	-	25	25.4841997961264	other_features	MHS572
DP_00524255	-	11	11.31687242798354	other_features	MHS572
DP_00526917	-	43	44.375644994840044	other_features	MHS572
DP_00538965	-	88	91.38110072689513	other_features	MHS572
DP_00550313	-	47	49.11180773249739	other_features	MHS572
DP_00553171	-	9	9.404388714733543	other_features	MHS572
DP_00565602	-	14	14.721345951629864	other_features	MHS572
DP_00584963	hypothetical protein	26	27.689030883919063	other_features	MHS572
DP_00588612	-	5	5.324813631522897	other_features	MHS572
DP_00596349	-	23	24.57264957264957	other_features	MHS572
DP_00605406	-	28	30.10752688172043	other_features	MHS572
