virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	19	12.32166018158236	S	C-5 cytosine-specific DNA methylase	MHS532	virus_OG
4QAIK|Virus	2	5.291005291005291	S	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	MHS532	virus_OG
4QAIU|Virus	254	458.183115712123	S	HNH endonuclease	MHS532	virus_OG
4QAJ5|Virus	2	8.333333333333334	S	Major capsid protein Gp23	MHS532	virus_OG
4QAK6|Virus	4599	3943.9276367977977	S	N-acetylmuramoyl-L-alanine amidase activity	MHS532	virus_OG
4QAKE|Virus	7	12.470862470862471	S	endonuclease activity	MHS532	virus_OG
4QAMJ|Virus	1	4.11522633744856	S	NA	MHS532	virus_OG
4QAPV|Virus	5	6.97350069735007	S	DNA binding	MHS532	virus_OG
4QAQ9|Virus	7	7.070707070707071	S	NA	MHS532	virus_OG
4QAQE|Virus	768	700.6326144553271	S	Phage integrase family	MHS532	virus_OG
4QAQV|Virus	331	593.6037120319753	S	protein disulfide oxidoreductase activity	MHS532	virus_OG
4QAR6|Virus	34	76.68159581374162	L	dUTP diphosphatase activity	MHS532	virus_OG
4QAR7|Virus	1273	933.6993824622552	S	Phage portal protein, SPP1 Gp6-like	MHS532	virus_OG
4QARF|Virus	1382	1135.9785617772013	S	Pfam:Terminase_3C	MHS532	virus_OG
4QAU3|Virus	1	4.273504273504273	S	NA	MHS532	virus_OG
4QAU9|Virus	431	1050.1031533628498	S	Single-strand binding protein family	MHS532	virus_OG
4QAUM|Virus	4	7.889546351084813	S	Early Protein (E6)	MHS532	virus_OG
4QAVQ|Virus	107	252.52525252525254	S	Phage major tail protein 2	MHS532	virus_OG
4QAWD|Virus	14	13.295346628679964	S	DNA polymerase type B, organellar and viral	MHS532	virus_OG
4QAWG|Virus	1289	1494.5055089405491	S	DnaB-like helicase C terminal domain	MHS532	virus_OG
4QAX8|Virus	1467	2053.0804339200527	S	calcium ion binding	MHS532	virus_OG
4QAXN|Virus	4	5.376344086021505	S	D12 class N6 adenine-specific DNA methyltransferase	MHS532	virus_OG
4QAY9|Virus	43	48.4474243749671	S	hydrolase activity, acting on acid anhydrides	MHS532	virus_OG
4QAYQ|Virus	1521	1857.2541880143028	S	Domain of unknown function (DUF2479)	MHS532	virus_OG
4QAYV|Virus	110	86.68242710795903	S	Phage portal protein	MHS532	virus_OG
4QAZ8|Virus	3	5.050505050505051	S	DNA mediated transformation	MHS532	virus_OG
4QAZF|Virus	422	1192.8533124244263	S	Protein of unknwon function (DUF3310)	MHS532	virus_OG
4QB0W|Virus	619	1493.4304497926812	S	Protein of unknown function (DUF1064)	MHS532	virus_OG
4QB40|Virus	176	121.76293190260331	S	DNA polymerase family B	MHS532	virus_OG
4QB4F|Virus	6	16.260162601626018	S	NA	MHS532	virus_OG
4QB5I|Virus	93	83.66096204220686	S	N-methyltransferase activity	MHS532	virus_OG
4QB67|Virus	33	40.88687326782565	S	Podovirus DNA encapsidation protein (Gp16)	MHS532	virus_OG
4QB6U|Virus	202	446.8333234482296	S	Terminase small subunit	MHS532	virus_OG
4QB79|Virus	10	10.070493454179255	S	NA	MHS532	virus_OG
4QB9J|Virus	134	62.550074738415546	S	NA	MHS532	virus_OG
4QB9S|Virus	3	7.518796992481203	S	Phage major capsid protein E	MHS532	virus_OG
4QBBN|Virus	290	596.7078189300412	S	Siphovirus Gp157	MHS532	virus_OG
4QBCQ|Virus	2	3.898635477582846	S	DNA topoisomerase activity	MHS532	virus_OG
4QBCR|Virus	405	750	S	DNA protection	MHS532	virus_OG
4QBCW|Virus	294	899.0702128316807	S	Phage gp6-like head-tail connector protein	MHS532	virus_OG
4QBDC|Virus	34	115.64625850340137	S	Pfam:Phage_holin_4_1	MHS532	virus_OG
4QBFR|Virus	1038	1710.091046764402	S	ERF superfamily	MHS532	virus_OG
4QBGM|Virus	151	322.3091768997476	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS532	virus_OG
4QBH5|Virus	1	3.663003663003663	S	Initiator Replication protein	MHS532	virus_OG
4QBHW|Virus	5	8.051529790660226	S	NA	MHS532	virus_OG
