virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	15	26.589701301081178	S	HNH endonuclease	MHS464	virus_OG
4QAK6|Virus	1938	1662.7824080193552	S	N-acetylmuramoyl-L-alanine amidase activity	MHS464	virus_OG
4QAKE|Virus	14	46.20462046204621	S	endonuclease activity	MHS464	virus_OG
4QAQE|Virus	4	9.523809523809524	S	Phage integrase family	MHS464	virus_OG
4QAQV|Virus	34	48.34290324136575	S	protein disulfide oxidoreductase activity	MHS464	virus_OG
4QAQY|Virus	6	12.048192771084338	S	acid-amino acid ligase activity	MHS464	virus_OG
4QAR6|Virus	21	49.34571970832085	L	dUTP diphosphatase activity	MHS464	virus_OG
4QAR7|Virus	67	44.7561790247161	S	Phage portal protein, SPP1 Gp6-like	MHS464	virus_OG
4QARF|Virus	57	45.46298620336417	S	Pfam:Terminase_3C	MHS464	virus_OG
4QAU9|Virus	11	26.570048309178745	S	Single-strand binding protein family	MHS464	virus_OG
4QAWG|Virus	61	75.46723668280872	S	DnaB-like helicase C terminal domain	MHS464	virus_OG
4QAX8|Virus	21	29.22348375645314	S	calcium ion binding	MHS464	virus_OG
4QAZF|Virus	2	8.333333333333334	S	Protein of unknwon function (DUF3310)	MHS464	virus_OG
4QB0C|Virus	2	4.504504504504505	S	Endodeoxyribonuclease RusA	MHS464	virus_OG
4QB0N|Virus	3	7.246376811594203	S	Cell Wall Hydrolase	MHS464	virus_OG
4QB0W|Virus	19	46.14055502662294	S	Protein of unknown function (DUF1064)	MHS464	virus_OG
4QB31|Virus	6	21.408315308819997	S	E7 protein, Early protein	MHS464	virus_OG
4QB3I|Virus	4	8.830022075055187	S	NA	MHS464	virus_OG
4QB49|Virus	16	11.134307585247042	S	Domain of unknown function (DUF4055)	MHS464	virus_OG
4QB5I|Virus	2	4.016064257028113	S	N-methyltransferase activity	MHS464	virus_OG
4QBBN|Virus	2	4.1928721174004195	S	Siphovirus Gp157	MHS464	virus_OG
4QBCW|Virus	16	41.99975553110867	S	Phage gp6-like head-tail connector protein	MHS464	virus_OG
4QBF8|Virus	5	16.130352902644724	S	Phage tail protein	MHS464	virus_OG
4QBFR|Virus	6	9.174311926605505	S	ERF superfamily	MHS464	virus_OG
4QBGM|Virus	17	37.344892061873196	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS464	virus_OG
4QBME|Virus	20	15.117157974300833	S	Zonular occludens toxin (Zot)	MHS464	virus_OG
4QBNM|Virus	23	29.831387808041505	S	serine-type endopeptidase activity	MHS464	virus_OG
4QBNW|Virus	1	4.444444444444445	S	NA	MHS464	virus_OG
4QBP3|Virus	9	11.11111111111111	S	PDDEXK-like domain of unknown function (DUF3799)	MHS464	virus_OG
4QBTM|Virus	9	15.920512154821777	S	NA	MHS464	virus_OG
4QBV3|Virus	58	72.79693486590038	S	Phage Terminase	MHS464	virus_OG
4QBX7|Virus	3	11.235955056179774	S	Pfam:Holin_SPP1	MHS464	virus_OG
4QC5R|Virus	2	4.040404040404041	S	RyR domain	MHS464	virus_OG
4QC76|Virus	8	12.288786482334869	S	guanosine tetraphosphate metabolic process	MHS464	virus_OG
4QCCB|Virus	5	10.615711252653929	S	Pfam:Peptidase_M78	MHS464	virus_OG
4QCM6|Virus	12	5.181347150259068	S	actin binding	MHS464	virus_OG
4QCR1|Virus	23	14.687100893997446	S	Late Protein L2	MHS464	virus_OG
4QDBK|Virus	15	45.543905635648755	S	NA	MHS464	virus_OG
4QDBW|Virus	1	4.761904761904762	S	Arc-like DNA binding domain	MHS464	virus_OG
4QDKP|Virus	48	85.53278803721506	S	transaminase activity	MHS464	virus_OG
4QDQV|Virus	2	5.602240896358544	S	E2 (early) protein, N terminal	MHS464	virus_OG
4QDRA|Virus	1	5.05050505050505	S	Cro	MHS464	virus_OG
4QDV8|Virus	42	87.5	S	NA	MHS464	virus_OG
4QDY5|Virus	4	15.15151515151515	S	NA	MHS464	virus_OG
4QE1H|Virus	44	123.24929971988796	S	NA	MHS464	virus_OG
4QE47|Virus	4	10.840108401084011	S	NA	MHS464	virus_OG
4QE7B|Virus	33	17.488076311605724	S	metallocarboxypeptidase activity	MHS464	virus_OG
4QEE8|Virus	20	17.452006980802793	S	Pfam:DUF5047	MHS464	virus_OG
4QEZS|Virus	23	51.45413870246085	S	NA	MHS464	virus_OG
4QEZU|Virus	9	5.88235294117647	S	L1 (late) protein	MHS464	virus_OG
4QF5H|Virus	6	10.92896174863388	S	NA	MHS464	virus_OG
4QFB2|Virus	2	10.92896174863388	S	NA	MHS464	virus_OG
4QFD3|Virus	6	18.69158878504673	S	Domain of unknown function (DUF4406)	MHS464	virus_OG
4QFJJ|Virus	10	31.15264797507788	S	NA	MHS464	virus_OG
4QFMI|Virus	88	92.82700421940929	S	PD-(D/E)XK nuclease superfamily	MHS464	virus_OG
4QFWR|Virus	7	22.58329309512313	S	NA	MHS464	virus_OG
4QG3J|Virus	14	10.558069381598793	S	Domain of unknown function (DUF4041)	MHS464	virus_OG
4QGDB|Virus	4	9.25925925925926	S	NA	MHS464	virus_OG
4QGJD|Virus	27	37.1900826446281	S	NA	MHS464	virus_OG
4QGVM|Virus	33	94.88498789346247	S	NA	MHS464	virus_OG
4QH25|Virus	27	21.327014218009477	S	Phage terminase large subunit	MHS464	virus_OG
4QHQD|Virus	5	4.7892720306513406	S	NA	MHS464	virus_OG
