bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7I3|Bacteria	16	24.806201550387595	S	NA	MHS446	bacteria_OG
2Z7IA|Bacteria	69	109.7553434889722	S	Domain of unknown function (DUF1852)	MHS446	bacteria_OG
2Z7IB|Bacteria	42	82.16160180981908	S	NA	MHS446	bacteria_OG
2Z7J4|Bacteria	10	9.389671361502348	S	NA	MHS446	bacteria_OG
2Z7JA|Bacteria	6	8.51063829787234	S	Domain of unknown function (DUF4294)	MHS446	bacteria_OG
2Z7JG|Bacteria	18	23.130715438407748	S	Phage major capsid protein E	MHS446	bacteria_OG
2Z7JJ|Bacteria	14	22.544283413848632	S	Putative 2OG-Fe(II) oxygenase	MHS446	bacteria_OG
2Z7JU|Bacteria	3	5.025125628140704	S	phage major tail protein, phi13 family	MHS446	bacteria_OG
2Z7JV|Bacteria	32	36.529680365296805	S	NA	MHS446	bacteria_OG
2Z7JY|Bacteria	7	6.76328502415459	S	Phage major capsid protein E	MHS446	bacteria_OG
2Z7K2|Bacteria	14	10.014306151645208	S	Bacterial cellulose synthase subunit	MHS446	bacteria_OG
2Z7K3|Bacteria	4	6.172839506172839	S	photosynthetic reaction center L subunit	MHS446	bacteria_OG
2Z7KE|Bacteria	54	33.33333333333333	S	Domain of unknown function (DUF4159)	MHS446	bacteria_OG
2Z7KV|Bacteria	25	23.96924904263578	S	NA	MHS446	bacteria_OG
2Z7KX|Bacteria	40	56.3637978506084	S	EcsC protein family	MHS446	bacteria_OG
2Z7MU|Bacteria	14	18.37270341207349	S	SseB protein N-terminal domain	MHS446	bacteria_OG
2Z7MY|Bacteria	61	59.6471277934264	S	NA	MHS446	bacteria_OG
2Z7N3|Bacteria	29	35.40903540903541	S	Sulfotransferase family	MHS446	bacteria_OG
2Z7NA|Bacteria	14	57.61316872427984	S	Psort location CytoplasmicMembrane, score	MHS446	bacteria_OG
2Z7NV|Bacteria	10	38.48003848003848	S	Domain of unknown function (DUF1998)	MHS446	bacteria_OG
2Z7QD|Bacteria	16	18.868524882270588	S	NA	MHS446	bacteria_OG
2Z7QJ|Bacteria	5	4.125412541254126	S	Domain of unknown function (DUF5103)	MHS446	bacteria_OG
2Z7QR|Bacteria	4	3.5746201966041107	S	Membrane	MHS446	bacteria_OG
2Z7QZ|Bacteria	61	55.10742555597437	S	NA	MHS446	bacteria_OG
2Z7RS|Bacteria	5694	12012.52154306655	S	Protein of unknown function (DUF2891)	MHS446	bacteria_OG
2Z7S0|Bacteria	8	6.046863189720333	S	Gliding motility-associated protein GldM	MHS446	bacteria_OG
2Z7S6|Bacteria	96	108.93893876997448	S	Protein of unknown function (DUF2493)	MHS446	bacteria_OG
2Z7SA|Bacteria	19	18.66215512753774	S	transfer protein	MHS446	bacteria_OG
2Z7SI|Bacteria	13	15.098722415795587	S	Protein of unknown function (DUF3388)	MHS446	bacteria_OG
2Z7SZ|Bacteria	78	121.1458604614651	S	3-methyladenine DNA glycosylase	MHS446	bacteria_OG
2Z7TR|Bacteria	28	21.116464500515058	S	Phage portal protein, SPP1 Gp6-like	MHS446	bacteria_OG
2Z7TU|Bacteria	1722	1668.655458265781	S	NA	MHS446	bacteria_OG
2Z7U4|Bacteria	3267	6845.955455136904	S	succinate dehydrogenase	MHS446	bacteria_OG
2Z7U8|Bacteria	29	39.17208539694305	S	NA	MHS446	bacteria_OG
2Z7UG|Bacteria	61	120.86683055389453	S	Protein of unknown function (DUF2840)	MHS446	bacteria_OG
2Z7VI|Bacteria	12	10.666666666666666	S	Psort location Cytoplasmic, score	MHS446	bacteria_OG
2Z7VT|Bacteria	2	8.547008547008547	S	AIPR protein	MHS446	bacteria_OG
2Z7VY|Bacteria	14433	13330.440566168161	S	Psort location Cytoplasmic, score	MHS446	bacteria_OG
2Z7WE|Bacteria	12	19.900497512437813	S	NA	MHS446	bacteria_OG
2Z7WG|Bacteria	142	82.3318178272546	S	NA	MHS446	bacteria_OG
2Z7Y4|Bacteria	13	35.69388920616791	S	NA	MHS446	bacteria_OG
2Z7YS|Bacteria	28	27.987036119872446	S	NA	MHS446	bacteria_OG
2Z802|Bacteria	2288	5989.467619821248	S	phage tail protein	MHS446	bacteria_OG
