virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	2102	3394.767842627417	S	HNH endonuclease	MHS467	virus_OG
4QAK6|Virus	1180	1146.1393125951147	S	N-acetylmuramoyl-L-alanine amidase activity	MHS467	virus_OG
4QAKE|Virus	14	37.10050319597443	S	endonuclease activity	MHS467	virus_OG
4QAKM|Virus	23	41.117456307329725	S	DNA polymerase family A	MHS467	virus_OG
4QAM2|Virus	2	3.623188405797101	S	catalytic activity	MHS467	virus_OG
4QAPF|Virus	8	7.036059806508355	S	NA	MHS467	virus_OG
4QAPQ|Virus	18	19.93355481727575	S	NA	MHS467	virus_OG
4QAPV|Virus	15	19.37984496124031	S	DNA binding	MHS467	virus_OG
4QAQE|Virus	2	7.452490373866601	S	Phage integrase family	MHS467	virus_OG
4QAQV|Virus	184	366.38811446811513	S	protein disulfide oxidoreductase activity	MHS467	virus_OG
4QAR6|Virus	11	20.67287784679089	L	dUTP diphosphatase activity	MHS467	virus_OG
4QAR7|Virus	411	359.5167292474951	S	Phage portal protein, SPP1 Gp6-like	MHS467	virus_OG
4QARF|Virus	122	99.33457771916498	S	Pfam:Terminase_3C	MHS467	virus_OG
4QAU9|Virus	19	43.350779199835806	S	Single-strand binding protein family	MHS467	virus_OG
4QAVQ|Virus	82	189.52927467117942	S	Phage major tail protein 2	MHS467	virus_OG
4QAWD|Virus	19	37.459565572996446	S	DNA polymerase type B, organellar and viral	MHS467	virus_OG
4QAWG|Virus	134	125.26278130903708	S	DnaB-like helicase C terminal domain	MHS467	virus_OG
4QAWN|Virus	4	11.49425287356322	S	Pfam:YdaS_antitoxin	MHS467	virus_OG
4QAX8|Virus	185	280.64994862130106	S	calcium ion binding	MHS467	virus_OG
4QAXV|Virus	1229	3080.2005012531326	S	YopX protein	MHS467	virus_OG
4QAY9|Virus	131	123.8993895947607	S	hydrolase activity, acting on acid anhydrides	MHS467	virus_OG
4QAYQ|Virus	328	403.8446369467673	S	Domain of unknown function (DUF2479)	MHS467	virus_OG
4QAYV|Virus	35	32.61962692619627	S	Phage portal protein	MHS467	virus_OG
4QAZF|Virus	863	1945.165753391041	S	Protein of unknwon function (DUF3310)	MHS467	virus_OG
4QB0W|Virus	29	63.18082788671024	S	Protein of unknown function (DUF1064)	MHS467	virus_OG
4QB1F|Virus	8	21.680216802168022	S	NA	MHS467	virus_OG
4QB3I|Virus	9	20.807542271753466	S	NA	MHS467	virus_OG
4QB5I|Virus	82	55.05648536952643	S	N-methyltransferase activity	MHS467	virus_OG
4QB67|Virus	10	14.124293785310735	S	Podovirus DNA encapsidation protein (Gp16)	MHS467	virus_OG
4QB6U|Virus	12	27.731908693540554	S	Terminase small subunit	MHS467	virus_OG
4QB93|Virus	4	13.071895424836601	S	Rho termination factor, N-terminal domain	MHS467	virus_OG
4QBA1|Virus	15	20.087564085114103	S	Putative transposase DNA-binding domain	MHS467	virus_OG
4QBCR|Virus	75	138.88888888888889	S	DNA protection	MHS467	virus_OG
4QBCW|Virus	58	179.79328679911248	S	Phage gp6-like head-tail connector protein	MHS467	virus_OG
4QBDC|Virus	24	56.99352911896466	S	Pfam:Phage_holin_4_1	MHS467	virus_OG
4QBET|Virus	10	32.35206660719596	S	hydrolase activity, acting on ester bonds	MHS467	virus_OG
4QBGM|Virus	28	60.21505376344086	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS467	virus_OG
4QBHS|Virus	17	18.398268398268396	S	DNA metabolic process	MHS467	virus_OG
4QBI8|Virus	36	92.07403891789272	S	Helix-turn-helix of insertion element transposase	MHS467	virus_OG
4QBIC|Virus	1	4.065040650406504	S	NA	MHS467	virus_OG
4QBIH|Virus	4237	4919.456806646683	S	recombinase activity	MHS467	virus_OG
4QBKB|Virus	1	3.9215686274509802	S	NA	MHS467	virus_OG
4QBNJ|Virus	7	11.437908496732026	S	NA	MHS467	virus_OG
4QBSI|Virus	94	73.11096244407406	S	NA	MHS467	virus_OG
4QBTM|Virus	5	7.062146892655368	S	NA	MHS467	virus_OG
4QBV3|Virus	4	9.470446055811909	S	Phage Terminase	MHS467	virus_OG
4QBXB|Virus	4	10.316130919145994	S	Phage minor structural protein GP20	MHS467	virus_OG
