fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	17	7.378472222222223	L	Dna repair helicase rad25	MHS542	fungi_OG
3NTVK|Fungi	2	6.944444444444445	I	Cral trio domain protein	MHS542	fungi_OG
3NTVM|Fungi	24	19.37046004842615	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS542	fungi_OG
3NTVS|Fungi	11	16.40726011030916	H	Potential Queuosine, Q, salvage protein family	MHS542	fungi_OG
3NTVU|Fungi	14	6.526806526806527	S	pyrophosphatase	MHS542	fungi_OG
3NTW1|Fungi	3	8.403361344537815	Q	Short chain dehydrogenase	MHS542	fungi_OG
3NTW8|Fungi	16	6.77678949597628	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS542	fungi_OG
3NTWB|Fungi	5	6.265664160401002	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS542	fungi_OG
3NTWF|Fungi	8	11.299435028248588	B	histone deacetylase	MHS542	fungi_OG
3NTWG|Fungi	10	7.2150072150072155	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS542	fungi_OG
3NTWK|Fungi	2	5.797101449275363	GMO	GDP-mannose pyrophosphorylase	MHS542	fungi_OG
3NTWM|Fungi	5	8.92156862745098	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	MHS542	fungi_OG
3NTWN|Fungi	1	4.016064257028113	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	MHS542	fungi_OG
3NTWU|Fungi	1	4.016064257028113	T	serine threonine-protein phosphatase	MHS542	fungi_OG
3NTWY|Fungi	1	4.329004329004329	T	STE STE20 PAKA protein kinase	MHS542	fungi_OG
3NTX1|Fungi	42	13.650872783420922	K	phd transcription factor	MHS542	fungi_OG
3NTXF|Fungi	2	8.130081300813009	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS542	fungi_OG
3NTXG|Fungi	7	17.402333840690005	K	-phosphatase	MHS542	fungi_OG
