virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	135	121.53700800847587	S	C-5 cytosine-specific DNA methylase	MHS472	virus_OG
4QAIK|Virus	30	40.32258064516129	S	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	MHS472	virus_OG
4QAIU|Virus	38	63.835978835978835	S	HNH endonuclease	MHS472	virus_OG
4QAJ5|Virus	1	4.166666666666667	S	Major capsid protein Gp23	MHS472	virus_OG
4QAK6|Virus	3663	3623.9292532597788	S	N-acetylmuramoyl-L-alanine amidase activity	MHS472	virus_OG
4QAKE|Virus	11	33.84735025226661	S	endonuclease activity	MHS472	virus_OG
4QAKM|Virus	6	7.8431372549019605	S	DNA polymerase family A	MHS472	virus_OG
4QANU|Virus	2	3.4722222222222223	S	5'-nucleotidase activity	MHS472	virus_OG
4QAPV|Virus	98	131.2389500883993	S	DNA binding	MHS472	virus_OG
4QAQE|Virus	33	33.912616593028964	S	Phage integrase family	MHS472	virus_OG
4QAQH|Virus	5	12.72264631043257	S	phosphatase activity	MHS472	virus_OG
4QAQV|Virus	359	626.2321775549824	S	protein disulfide oxidoreductase activity	MHS472	virus_OG
4QAR6|Virus	42	78.72371283538796	L	dUTP diphosphatase activity	MHS472	virus_OG
4QAR7|Virus	473	359.02190474903415	S	Phage portal protein, SPP1 Gp6-like	MHS472	virus_OG
4QARF|Virus	53	47.69222087657842	S	Pfam:Terminase_3C	MHS472	virus_OG
4QAU9|Virus	272	458.64355609523574	S	Single-strand binding protein family	MHS472	virus_OG
4QAUM|Virus	7	14.767932489451477	S	Early Protein (E6)	MHS472	virus_OG
4QAUS|Virus	1	4.219409282700422	S	flavin adenine dinucleotide binding	MHS472	virus_OG
4QAUT|Virus	8	14.108204892883816	S	DNA ligase (ATP) activity	MHS472	virus_OG
4QAUX|Virus	7	16.091954022988507	S	NA	MHS472	virus_OG
4QAVQ|Virus	397	816.0189969696233	S	Phage major tail protein 2	MHS472	virus_OG
4QAW7|Virus	1	3.5087719298245617	S	NA	MHS472	virus_OG
4QAWG|Virus	37	46.01985947681603	S	DnaB-like helicase C terminal domain	MHS472	virus_OG
4QAWN|Virus	3	11.76470588235294	S	Pfam:YdaS_antitoxin	MHS472	virus_OG
4QAX8|Virus	336	465.9539514447689	S	calcium ion binding	MHS472	virus_OG
4QAXN|Virus	1	4.444444444444445	S	D12 class N6 adenine-specific DNA methyltransferase	MHS472	virus_OG
4QAXQ|Virus	4	5.532503457814661	S	Ribonucleotide reductase, barrel domain	MHS472	virus_OG
4QAXV|Virus	66	167.33834586466165	S	YopX protein	MHS472	virus_OG
4QAYQ|Virus	210	214.77530223725992	S	Domain of unknown function (DUF2479)	MHS472	virus_OG
4QAYV|Virus	21	17.59118573648202	S	Phage portal protein	MHS472	virus_OG
4QAZF|Virus	53	145.20450717669664	S	Protein of unknwon function (DUF3310)	MHS472	virus_OG
4QB0N|Virus	3	8.486190174994729	S	Cell Wall Hydrolase	MHS472	virus_OG
4QB0W|Virus	17	41.8757603406326	S	Protein of unknown function (DUF1064)	MHS472	virus_OG
4QB1F|Virus	4	10.416666666666666	S	NA	MHS472	virus_OG
4QB3I|Virus	4	9.132420091324201	S	NA	MHS472	virus_OG
4QB40|Virus	10	6.207324643078833	S	DNA polymerase family B	MHS472	virus_OG
4QB41|Virus	2	7.017543859649123	S	Uncharacterized protein conserved in bacteria (DUF2213)	MHS472	virus_OG
4QB5I|Virus	25	41.45299145299145	S	N-methyltransferase activity	MHS472	virus_OG
4QB6U|Virus	27	59.15119363395225	S	Terminase small subunit	MHS472	virus_OG
4QB79|Virus	20	20.14098690835851	S	NA	MHS472	virus_OG
4QB7P|Virus	2	3.766478342749529	S	metallopeptidase activity	MHS472	virus_OG
