virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	8	15.779092702169626	S	HNH endonuclease	MHS489	virus_OG
4QAK6|Virus	776	620.2505680660207	S	N-acetylmuramoyl-L-alanine amidase activity	MHS489	virus_OG
4QAQ9|Virus	30	10.1010101010101	S	NA	MHS489	virus_OG
4QAR7|Virus	145	109.35143288084464	S	Phage portal protein, SPP1 Gp6-like	MHS489	virus_OG
4QASJ|Virus	1173	1281.7432220894582	S	Polyomavirus coat protein	MHS489	virus_OG
4QATV|Virus	499	870.8551483420594	S	T-antigen specific domain	MHS489	virus_OG
4QAU9|Virus	4	9.132420091324201	S	Single-strand binding protein family	MHS489	virus_OG
4QAUM|Virus	174077	403975.00092322624	S	Early Protein (E6)	MHS489	virus_OG
4QAWG|Virus	104	116.45050157057453	S	DnaB-like helicase C terminal domain	MHS489	virus_OG
4QAY9|Virus	96	104.62194354141064	S	hydrolase activity, acting on acid anhydrides	MHS489	virus_OG
4QB0T|Virus	4	8.1799591002045	S	Protein of unknown function (DUF669)	MHS489	virus_OG
4QB31|Virus	162985	574013.9276295601	S	E7 protein, Early protein	MHS489	virus_OG
4QB5I|Virus	64	44.11502542568833	S	N-methyltransferase activity	MHS489	virus_OG
4QB9S|Virus	2	7.751937984496124	S	Phage major capsid protein E	MHS489	virus_OG
4QBET|Virus	1	4.694835680751174	S	hydrolase activity, acting on ester bonds	MHS489	virus_OG
4QBF8|Virus	85	89.78338574000915	S	Phage tail protein	MHS489	virus_OG
4QBH1|Virus	18	26.083280490382585	S	AAA domain	MHS489	virus_OG
4QBMM|Virus	60	58.74660745127067	S	NA	MHS489	virus_OG
4QBV3|Virus	166	109.78835978835978	S	Phage Terminase	MHS489	virus_OG
4QC7C|Virus	1078	1066.2710187932742	S	NA	MHS489	virus_OG
4QCB0|Virus	8	16.366612111292962	S	nuclease activity	MHS489	virus_OG
4QCR1|Virus	1364912	849969.6054552234	S	Late Protein L2	MHS489	virus_OG
4QDBK|Virus	36	103.7122676673869	S	NA	MHS489	virus_OG
4QDKP|Virus	97	171.78233128144586	S	transaminase activity	MHS489	virus_OG
4QDQV|Virus	735674	1083637.2417330968	S	E2 (early) protein, N terminal	MHS489	virus_OG
4QDV8|Virus	28	58.700209643605874	S	NA	MHS489	virus_OG
4QDXQ|Virus	2	6.230529595015576	S	NA	MHS489	virus_OG
4QE1H|Virus	45	137.71570877346923	S	NA	MHS489	virus_OG
4QEBP|Virus	2	7.575757575757575	L	Reverse transcriptase (RNA-dependent DNA polymerase)	MHS489	virus_OG
4QEC5|Virus	1602	933.5664335664336	S	Polyomavirus large T antigen C-terminus	MHS489	virus_OG
4QEZU|Virus	1232127	946939.9411783004	S	L1 (late) protein	MHS489	virus_OG
4QF7I|Virus	5	7.122507122507123	S	NA	MHS489	virus_OG
4QFB4|Virus	21	19.886363636363637	S	NA	MHS489	virus_OG
4QFMI|Virus	63	65.015479876161	S	PD-(D/E)XK nuclease superfamily	MHS489	virus_OG
4QFWJ|Virus	10	15.64945226917058	S	Protein of unknown function (DUF1441)	MHS489	virus_OG
4QG3J|Virus	8	6.033182503770739	S	Domain of unknown function (DUF4041)	MHS489	virus_OG
4QGFR|Virus	4	13.138623244593779	S	NA	MHS489	virus_OG
4QGJD|Virus	17	25.297619047619047	S	NA	MHS489	virus_OG
4QGQN|Virus	1466782	808329.6481723917	L	Papillomavirus helicase	MHS489	virus_OG
4QGVM|Virus	21	72.54901960784315	S	NA	MHS489	virus_OG
4QHQD|Virus	9	8.620689655172413	S	NA	MHS489	virus_OG
