virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	3	6.289308176100629	S	C-5 cytosine-specific DNA methylase	MHS448	virus_OG
4QAIK|Virus	2	5.5096418732782375	S	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	MHS448	virus_OG
4QAIU|Virus	25	45.25558843552782	S	HNH endonuclease	MHS448	virus_OG
4QAK6|Virus	4595	3782.386992194252	S	N-acetylmuramoyl-L-alanine amidase activity	MHS448	virus_OG
4QAKE|Virus	61	96.69252301234715	S	endonuclease activity	MHS448	virus_OG
4QAQ9|Virus	128	43.09764309764309	S	NA	MHS448	virus_OG
4QAQE|Virus	19	36.492678499174346	S	Phage integrase family	MHS448	virus_OG
4QAQQ|Virus	1	3.8314176245210727	S	T4-like virus tail tube protein gp19	MHS448	virus_OG
4QAR6|Virus	10	27.649426518664214	L	dUTP diphosphatase activity	MHS448	virus_OG
4QAR7|Virus	127	158.2307746359775	S	Phage portal protein, SPP1 Gp6-like	MHS448	virus_OG
4QASD|Virus	6	14.925373134328357	S	NA	MHS448	virus_OG
4QASV|Virus	2	5.012531328320802	S	recA bacterial DNA recombination protein	MHS448	virus_OG
4QAT6|Virus	4	10.75268817204301	S	Protein of unknown function (DUF4054)	MHS448	virus_OG
4QAU9|Virus	2	4.975124378109452	S	Single-strand binding protein family	MHS448	virus_OG
4QAUM|Virus	41759	86726.58461289904	S	Early Protein (E6)	MHS448	virus_OG
4QAUS|Virus	9	14.354066985645932	S	flavin adenine dinucleotide binding	MHS448	virus_OG
4QAWG|Virus	51	69.76628765315786	S	DnaB-like helicase C terminal domain	MHS448	virus_OG
4QAX0|Virus	14	22.0125786163522	S	virus tail	MHS448	virus_OG
4QAX8|Virus	1	3.623188405797101	S	calcium ion binding	MHS448	virus_OG
4QAXX|Virus	35	43.10091650210137	S	Phage terminase large subunit (GpA)	MHS448	virus_OG
4QAY9|Virus	606	738.7447205533573	S	hydrolase activity, acting on acid anhydrides	MHS448	virus_OG
4QAYV|Virus	11	9.85663082437276	S	Phage portal protein	MHS448	virus_OG
4QAZJ|Virus	78	46.3458110516934	S	Phage portal protein, lambda family	MHS448	virus_OG
4QB0T|Virus	25	53.40875893023132	S	Protein of unknown function (DUF669)	MHS448	virus_OG
4QB31|Virus	22236	76160.09813232036	S	E7 protein, Early protein	MHS448	virus_OG
4QB40|Virus	5	5.324813631522897	S	DNA polymerase family B	MHS448	virus_OG
4QB5I|Virus	584	465.411008696043	S	N-methyltransferase activity	MHS448	virus_OG
4QB93|Virus	1	3.436426116838488	S	Rho termination factor, N-terminal domain	MHS448	virus_OG
4QB9S|Virus	2	5.555555555555555	S	Phage major capsid protein E	MHS448	virus_OG
4QBC7|Virus	2	7.751937984496124	S	Pfam:Phage_clamp_A	MHS448	virus_OG
4QBF8|Virus	17	34.6782431052094	S	Phage tail protein	MHS448	virus_OG
