Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_1,core,I,Mevalonate kinase,Hydroxymethylglutaryl-CoA reductase[1.1.1.88]; Hydroxymethylglutaryl-CoA synthase[2.3.3.10]; Mevalonate kinase[2.7.1.36],hydroxymethylglutaryl-CoA reductase[K00054]; mevalonate kinase[K00869]; hydroxymethylglutaryl-CoA synthase[K01641],"Valine, leucine and isoleucine degradation[map00280]; Butanoate metabolism[map00650]; Terpenoid backbone biosynthesis[map00900]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Peroxisome[map04146]",(S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA[R01978]; (R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+[R02081]; ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate[R02245],-,-,-
cluster_2,core,P,ABC 3 transport family,-,zinc transport system permease protein[K09816]; manganese/iron transport system permease protein[K09819]; iron/zinc/manganese/copper transport system permease protein[K11705]; manganese/zinc/iron transport system permease protein[K11709]; manganese/zinc transport system permease protein[K19972]; manganese transport system substrate-binding protein[K19975]; manganese transport system permease protein[K19976],ABC transporters[map02010],-,-,-,-
cluster_3,core,K,transcriptional regulatory protein,-,-,-,-,-,-,-
cluster_4,core,H,Belongs to the carbohydrate kinase PfkB family. LacC subfamily,6-phosphofructokinase[2.7.1.11]; Tagatose-6-phosphate kinase[2.7.1.144]; 1-phosphofructokinase[2.7.1.56],1-phosphofructokinase[K00882]; tagatose 6-phosphate kinase[K00917]; 6-phosphofructokinase 2[K16370],Glycolysis / Gluconeogenesis[map00010]; Pentose phosphate pathway[map00030]; Fructose and mannose metabolism[map00051]; Galactose metabolism[map00052]; Methane metabolism[map00680]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate[R00756]; ATP + D-Fructose 1-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate[R02071]; D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP[R03236]; CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate[R03237]; UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate[R03238]; ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate[R03239]; ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate[R04779]",-,-,-
cluster_5,core,S,COG1253 Hemolysins and related proteins containing CBS domains,-,"magnesium and cobalt exporter, CNNM family[K03699]; hemolysin (HlyC) family protein[K06189]",-,-,-,-,-
cluster_6,core,S,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1),PreQ(1) synthase[1.7.1.13],7-cyano-7-deazaguanine reductase[K06879]; 7-cyano-7-deazaguanine reductase[K09457],Folate biosynthesis[map00790]; Metabolic pathways[map01100],7-Aminomethyl-7-carbaguanine + 2 NADP+ <=> 7-Cyano-7-carbaguanine + 2 NADPH + 2 H+[R07605],-,-,-
cluster_7,core,S,Protein of unknown function DUF86,-,-,-,-,-,-,-
cluster_8,core,S,Belongs to the UPF0349 family,-,-,-,-,-,-,-
cluster_9,core,S,Belongs to the HesB IscA family,-,iron-sulfur cluster assembly protein[K13628]; iron-sulfur cluster insertion protein[K15724],-,-,-,-,-
cluster_10,core,P,Na( ) H( ) antiporter subunit,NADH:ubiquinone reductase (H(+)-translocating)[1.6.5.3],NADH-quinone oxidoreductase subunit K[K00340]; multicomponent K+:H+ antiporter subunit C[K05560]; multicomponent Na+:H+ antiporter subunit C[K05567],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100],Ubiquinone + NADH + 6 H+ <=> Ubiquinol + NAD+ + 5 H+[R11945],-,-,-
