Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_1,core,L,"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate",DNA-(apurinic or apyrimidinic site) lyase[4.2.99.18],endonuclease III[K10773],Base excision repair[map03410],-,-,-,-
cluster_2,core,S,YCII-related domain,-,uncharacterized protein[K09780],-,-,-,-,-
cluster_3,core,H,molybdenum cofactor guanylyltransferase activity,Molybdenum cofactor guanylyltransferase[2.7.7.77],molybdenum cofactor guanylyltransferase[K03752],Folate biosynthesis[map00790]; Metabolic pathways[map01100],Molybdoenzyme molybdenum cofactor + GTP <=> Guanylyl molybdenum cofactor + Diphosphate[R11581],-,-,-
cluster_4,core,J,FtsJ-like methyltransferase,23S rRNA (cytidine(1920)-2'-O)-methyltransferase[2.1.1.226]; 16S rRNA (cytidine(1409)-2'-O)-methyltransferase[2.1.1.227],23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase[K06442],-,-,-,-,-
cluster_5,core,O,"cytochrome c biogenesis protein, transmembrane region",-,cytochrome c-type biogenesis protein[K06196],-,-,-,-,-
cluster_6,core,V,Beta-lactamase enzyme family,-,-,-,-,-,-,-
cluster_7,core,-,-,-,-,-,-,-,-,-
cluster_8,dispensable,Q,"all-trans-retinol 13,14-reductase activity","Ferredoxin:CoB-CoM heterodisulfide reductase[1.8.7.3]; Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase[1.8.98.4]; H(2):CoB-CoM heterodisulfide,ferredoxin reductase[1.8.98.5]; Formate:CoB-CoM heterodisulfide,ferredoxin reductase[1.8.98.6]",heterodisulfide reductase subunit A2[K03388],Methane metabolism[map00680]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Dihydromethanophenazine <=> Coenzyme B + Coenzyme M + Methanophenazine[R04540]; Coenzyme B + Coenzyme M + 2 Coenzyme F420 + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced coenzyme F420 + 2 Oxidized ferredoxin[R11928]; Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+[R11931]; Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen[R11943]; Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate[R11944],-,-,-
cluster_9,core,M,Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA,16S rRNA (cytosine(1402)-N(4))-methyltransferase[2.1.1.199],16S rRNA (cytosine1402-N4)-methyltransferase[K03438],-,-,-,-,-
cluster_10,dispensable,D,integral membrane protein,-,YggT family protein[K02221],-,-,-,-,-
cluster_11,dispensable,H,subunit ChlI,Magnesium chelatase[6.6.1.1],magnesium chelatase subunit D[K03404]; magnesium chelatase subunit I[K03405],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + Protoporphyrin + Magnesium cation + H2O <=> ADP + Orthophosphate + Magnesium protoporphyrin + 2 H+[R03877],-,-,-
cluster_12,core,S,Protein of unknown function (DUF3097),"3',5'-nucleoside bisphosphate phosphatase[3.1.3.97]","3',5'-nucleoside bisphosphate phosphatase[K07053]",-,"Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate[R00188]; Nucleoside 3',5'-bisphosphate + H2O <=> Nucleoside 5'-phosphate + Orthophosphate[R11188]",-,-,-
cluster_13,dispensable,I,Carboxylesterase family,Triacylglycerol lipase[3.1.1.3],triacylglycerol lipase[K01046],Glycerolipid metabolism[map00561]; Metabolic pathways[map01100],"Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]",-,-,-
cluster_14,core,S,Protein of unknown function (DUF3499),-,-,-,-,-,-,-
cluster_15,core,-,-,-,-,-,-,-,-,-
cluster_16,core,E,Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine,Phosphoserine transaminase[2.6.1.52],phosphoserine aminotransferase[K00831],"Glycine, serine and threonine metabolism[map00260]; Methane metabolism[map00680]; Vitamin B6 metabolism[map00750]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230]",O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate[R04173]; O-Phospho-4-hydroxy-L-threonine + 2-Oxoglutarate <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + L-Glutamate[R05085],-,-,Carbon Cycle: Organic carbon oxidation
cluster_17,core,K,cell envelope-related transcriptional attenuator,-,-,-,-,-,-,-
cluster_18,core,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",DNA-directed DNA polymerase[2.7.7.7],DNA polymerase III subunit beta[K02338],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; DNA replication[map03030]; Mismatch repair[map03430]; Homologous recombination[map03440],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_19,core,-,-,-,-,-,-,-,-,-
cluster_20,core,L,NUDIX domain,-,-,-,-,-,-,-
cluster_21,dispensable,-,-,-,-,-,-,-,-,-
cluster_22,core,-,-,-,-,-,-,-,-,-
cluster_23,core,J,Acetyltransferase (GNAT) domain,[Ribosomal protein S5]-alanine N-acetyltransferase[2.3.1.128],[ribosomal protein S5]-alanine N-acetyltransferase[K03790],-,-,-,-,-
cluster_24,core,H,DNA binding domain,-,molybdate transport system regulatory protein[K02019],-,-,-,-,-
cluster_25,core,C,cytochrome c oxidase subunit III,Cytochrome-c oxidase[1.9.3.1],cytochrome c oxidase subunit III[K02276]; cytochrome o ubiquinol oxidase subunit III[K02299],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100],Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O[R00081],-,-,-
cluster_26,core,H,Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A,Dephospho-CoA kinase[2.7.1.24],dephospho-CoA kinase[K00859],Pantothenate and CoA biosynthesis[map00770]; Metabolic pathways[map01100],ATP + Dephospho-CoA <=> ADP + CoA[R00130],-,-,-
cluster_27,core,S,VIT family,-,-,-,-,-,-,-
cluster_28,core,S,Metallo-beta-lactamase superfamily,Hydroxyacylglutathione hydrolase[3.1.2.6],hydroxyacylglutathione hydrolase[K01069],Pyruvate metabolism[map00620],(R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate[R01736],-,-,-
cluster_29,core,S,Protein of unknown function (DUF805),-,-,-,-,-,-,-
cluster_30,core,S,Protein of unknown function (DUF3515),-,-,-,-,-,-,-
cluster_31,core,L,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,Ribonuclease H[3.1.26.4],ribonuclease HII[K03470],DNA replication[map03030],-,-,-,-
cluster_32,core,S,GtrA-like protein,Dolichyl-phosphate beta-D-mannosyltransferase[2.4.1.83],dolichol-phosphate mannosyltransferase[K00721],N-Glycan biosynthesis[map00510]; Metabolic pathways[map01100],GDP-mannose + Dolichyl phosphate <=> GDP + Dolichyl phosphate D-mannose[R01009],-,-,-
